candidate_id,block_id,p_star,y,h,t,offset,D_t,line_t,diff,abs_diff
hexc_00076,77,39674417,39673239,1178,39673249,10,-3405.2930419003096,-3395.9721737038008,-9.320868196508854,9.320868196508854
hexc_00076,77,39674417,39673239,1178,39673250,11,-3405.187458205616,-3396.5985341670494,-8.588924038566802,8.588924038566802
hexc_00076,77,39674417,39673239,1178,39673253,14,-3404.397046935616,-3398.477615556796,-5.919431378819809,5.919431378819809
hexc_00076,77,39674417,39673239,1178,39673255,16,-3404.072945876126,-3399.7303364832937,-4.342609392832401,4.342609392832401
hexc_00076,77,39674417,39673239,1178,39673256,17,-3403.866001834526,-3400.356696946543,-3.509304887983035,3.509304887983035
hexc_00076,77,39674417,39673239,1178,39673260,21,-3403.075590405345,-3402.862138799538,-0.21345160580676747,0.21345160580676747
hexc_00076,77,39674417,39673239,1178,39673264,25,-3402.28507509945,-3405.3675806525334,3.0825055530835925,3.0825055530835925
hexc_00076,77,39674417,39673239,1178,39673270,31,-3418.460557866373,-3409.125743432027,-9.334814434346299,9.334814434346299
hexc_00076,77,39674417,39673239,1178,39673271,32,-3418.1372078013733,-3409.7521038952755,-8.385103906097811,8.385103906097811
hexc_00076,77,39674417,39673239,1178,39673277,38,-3416.9663581281648,-3413.510266674769,-3.4560914533958567,3.4560914533958567
hexc_00076,77,39674417,39673239,1178,39673285,46,-3432.88923845556,-3418.5211503807595,-14.368088074800653,14.368088074800653
hexc_00076,77,39674417,39673239,1178,39673296,57,-3447.961782770719,-3425.4111154764973,-22.550667294221512,22.550667294221512
hexc_00076,77,39674417,39673239,1178,39673303,64,-3446.5246677395394,-3429.7956387192394,-16.729029020300004,16.729029020300004
hexc_00076,77,39674417,39673239,1178,39673309,70,-3445.410851189417,-3433.5538014987324,-11.857049690684562,11.857049690684562
hexc_00076,77,39674417,39673239,1178,39673324,85,-3442.362194083701,-3442.9492084474655,0.5870143637644105,0.5870143637644105
hexc_00076,77,39674417,39673239,1178,39673343,104,-3455.838461552716,-3454.850057249194,-0.9884043035222021,0.9884043035222021
hexc_00076,77,39674417,39673239,1178,39673367,128,-3485.835841277476,-3469.8827083671663,-15.953132910309705,15.953132910309705
hexc_00076,77,39674417,39673239,1178,39673395,156,-3532.704930412002,-3487.4208013381344,-45.28412907386746,45.28412907386746
hexc_00076,77,39674417,39673239,1178,39673430,191,-3560.6820494711287,-3509.3434175518446,-51.338631919284126,51.338631919284126
hexc_00076,77,39674417,39673239,1178,39673473,234,-3551.70369911445,-3536.276917471546,-15.426781642904189,15.426781642904189
hexc_00076,77,39674417,39673239,1178,39673525,286,-3576.0835615071232,-3568.847661560487,-7.235899946636437,7.235899946636437
hexc_00076,77,39674417,39673239,1178,39673589,350,-3597.725866220616,-3608.9347312084137,11.208864987797824,11.208864987797824
hexc_00076,77,39674417,39673239,1178,39673668,429,-3634.315795371324,-3658.417207805074,24.101412433750284,24.101412433750284
hexc_00076,77,39674417,39673239,1178,39673764,525,-3719.535426979701,-3718.5478122769646,-0.9876147027362094,0.9876147027362094
hexc_00076,77,39674417,39673239,1178,39673882,643,-3800.280904385292,-3792.4583469403306,-7.822557444961603,7.822557444961603
hexc_00076,77,39674417,39673239,1178,39674025,786,-3928.28727701526,-3882.027893184918,-46.2593838303419,46.2593838303419
hexc_00076,77,39674417,39673239,1178,39674201,962,-3979.457329394432,-3992.2673347167174,12.810005322285633,12.810005322285633
hexc_00076,77,39674417,39673239,1178,39674417,1178,-4127.561194778472,-4127.561194778472,0.0,0.0
hexc_00077,78,3441797,3441229,568,3441229,0,-997.2058860575942,-997.2058860575942,0.0,0.0
hexc_00077,78,3441797,3441229,568,3441230,1,-997.1631290242055,-997.9013140732875,0.7381850490819488,0.7381850490819488
hexc_00077,78,3441797,3441229,568,3441231,2,-996.8397789592055,-998.5967420889808,1.7569631297752721,1.7569631297752721
hexc_00077,78,3441797,3441229,568,3441232,3,-996.6960678192056,-999.292170104674,2.596102285468419,2.596102285468419
hexc_00077,78,3441797,3441229,568,3441233,4,-1011.424058149567,-999.9875981203674,-11.43646002919968,11.43646002919968
hexc_00077,78,3441797,3441229,568,3441234,5,-1011.4240581495666,-1000.6830261360607,-10.741032013505901,10.741032013505901
hexc_00077,78,3441797,3441229,568,3441235,6,-1011.1007080845666,-1001.378454151754,-9.722253932812578,9.722253932812578
hexc_00077,78,3441797,3441229,568,3441236,7,-1010.8937640429666,-1002.0738821674472,-8.8198818755194,8.8198818755194
hexc_00077,78,3441797,3441229,568,3441237,8,-1010.5704139779666,-1002.7693101831405,-7.801103794826076,7.801103794826076
hexc_00077,78,3441797,3441229,568,3441238,9,-1010.4267028379668,-1003.4647381988339,-6.96196463913293,6.96196463913293
hexc_00077,78,3441797,3441229,568,3441239,10,-1010.1033527729668,-1004.1601662145272,-5.943186558439606,5.943186558439606
hexc_00077,78,3441797,3441229,568,3441240,11,-1010.1029173213178,-1004.8555942302205,-5.247323091097314,5.247323091097314
hexc_00077,78,3441797,3441229,568,3441242,13,-1024.8309099764242,-1006.246450261607,-18.58445971481717,18.58445971481717
