rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_end,C_best,C_gap,E_end_over_h,E_best_over_h,E_gap_over_h,endpoint_residual_fraction,best_residual_fraction,slope_gap_abs,intercept_gap_abs,pythagorean_abs_error
slope_gap_abs,12,hexc_00634,635,109814323,109814320,3,109814437,finite_positive,False,False,False,True,4.950949887770994,4.696883468012938,1.565627822670079,24.511904791219617,22.060714312093243,2.4511904791186527,6.570207220609359e-07,5.913186498547241e-07,1.2127300967120398,1.8190951405158557,
slope_gap_abs,13,hexc_00457,458,109709671,109709668,3,109709861,finite_positive,False,False,False,True,4.950690392955411,4.696637289616168,1.5655457632056633,24.509335366901002,22.05840183021311,2.450933536691203,6.470692588659901e-07,5.823623329794494e-07,1.2126665337242084,1.818999796029857,
slope_gap_abs,14,hexc_00536,537,109705909,109705906,3,109705961,finite_positive,False,False,False,True,4.95068106010201,4.6966284356940236,1.5655428118979295,24.509242958852763,22.058318662969693,2.450924295885276,6.412836590371733e-07,5.771552931335138e-07,1.2126642476510696,1.8189963669192366,
slope_gap_abs,15,hexc_00486,487,109567753,109567750,3,109567891,finite_positive,False,False,False,True,4.950338097746163,4.696303073034583,1.5654343576773726,24.50584728199709,22.05526255379407,2.4505847281967683,6.277238746262349e-07,5.649514871635266e-07,1.2125802393731284,1.8188703544965392,
slope_gap_abs,16,hexc_00326,327,109497079,109497076,3,109497203,finite_positive,False,False,False,True,4.95016248738318,4.696136474416727,1.5653788248054192,24.50410865149563,22.05369778634717,2.450410865149195,6.369832220163212e-07,5.732848998147176e-07,1.2125372237953336,1.8188058311270652,
slope_gap_abs,17,hexc_00328,329,109452151,109452148,3,109452269,finite_positive,False,False,False,True,4.950050791598228,4.696030510490963,1.5653435034965182,24.50300283940224,22.052702555462016,2.4503002839387538,6.041403943815402e-07,5.437263549433862e-07,1.2125098640272007,1.8187647914737681,
slope_gap_abs,18,hexc_00287,288,108533473,108533470,3,108533687,finite_positive,False,False,False,True,4.947756750734169,4.693854192238421,1.564618064079278,24.48029686443554,22.032267177994196,2.448029686443187,6.018603171705398e-07,5.416742854535401e-07,1.211947941071001,1.8179219070025283,
slope_gap_abs,19,hexc_00197,198,40839499,40839496,3,40839853,finite_positive,False,False,False,True,4.681739736475033,4.4414882938133955,1.4804960979374073,21.918686960089317,19.72681826408143,2.191868696007889,1.4547121448146998e-06,1.3092409303332991e-06,1.1467873462873701,1.7201810071883301,
slope_gap_abs,20,hexc_00150,151,39670783,39670780,3,39670973,finite_positive,False,False,False,True,4.673837477246401,4.4339915524662095,1.477997184155227,21.844756763713008,19.660281087341705,2.18447567637078,1.382345242940316e-06,1.2441107186462842e-06,1.144851695994907,1.7172775313897546,
slope_gap_abs,21,hexc_00314,315,33926353,33926350,3,33926539,finite_positive,False,False,False,True,4.6312645591165875,4.393603336087124,1.4645344453615725,21.44861141652936,19.30375027487591,2.1448611416505288,1.6577590731530787e-06,1.491983165837731e-06,1.1344235033665413,1.7016352403115889,
slope_gap_abs,22,hexc_00327,328,33488869,33488866,3,33489013,finite_positive,False,False,False,True,4.627732130242135,4.390252179812321,1.463417393270578,21.41590466927541,19.274314202346837,2.1415904669268535,1.8211840408246882e-06,1.6390656367421315e-06,1.1335582385374625,1.7003373428760824,
slope_gap_abs,23,hexc_00512,513,33413521,33413518,3,33413579,finite_positive,False,False,False,True,4.627119083760241,4.389670592854137,1.4632235309510857,21.410231015298212,19.269207913768394,2.141023101528963,1.8686959818508566e-06,1.6818263836657713e-06,1.1334080734305072,1.7001120951817938,
slope_gap_abs,24,hexc_00344,345,31018453,31018450,3,31018529,finite_positive,False,False,False,True,4.606875859499355,4.370466184099319,1.456822061366205,21.223305184837923,19.10097466635567,2.1223305184832792,1.968808504954023e-06,1.7719276544587635e-06,1.1284495164118518,1.6926742584992098,
slope_gap_abs,25,hexc_00172,173,30850279,30850276,3,30850439,finite_positive,False,False,False,True,4.605396233909529,4.369062488014766,1.4563541626716279,21.209674471308073,19.08870702417778,2.1209674471309783,1.8300206209685463e-06,1.6470185588717359e-06,1.1280870836413648,1.69213060925631,
intercept_gap_abs,1,hexc_00000,1,180530237,179845447,684790,180530237,forbidden_negative,False,True,True,True,2.059215174853413,1.7229575494637117,1.1277341970040335,4.240367136346573,2.9685827172539985,1.2717844190923324,4.980267198828742e-06,3.4865695960675505e-06,0.00026434201891889497,155.0673140041872,
intercept_gap_abs,2,hexc_00023,24,180619079,180557417,61662,180619079,finite_negative,False,False,False,True,3.8582045699944114,3.044642665384713,2.3697876580075934,14.88574250392576,9.269848959880932,5.6158935440451145,9.100077814527194e-05,5.666922348118239e-05,0.0006566667177306806,87.85167477941195,
intercept_gap_abs,3,hexc_00006,7,30774449,30670319,104130,30774449,threshold_relevant_negative,False,True,False,True,2.289866718210618,1.9376587063063482,1.2202328978698709,5.243489587168667,3.754521262124791,1.488968325043903,3.3053588386700646e-05,2.3667521089595466e-05,0.0008764980109148279,66.43778593580146,
intercept_gap_abs,4,hexc_00040,41,604672261,604520611,151650,604672261,threshold_relevant_negative,True,True,False,False,1.4656777515477597,1.1785403511233459,0.8713517729115147,2.1482112713820967,1.3889573592259394,0.7592539121560398,6.803174577721121e-06,4.398691842699977e-06,0.0004240602706624408,56.75313280658156,
intercept_gap_abs,5,hexc_00009,10,178298621,178254856,43765,178298621,finite_negative,False,False,False,True,1.9041830682272383,1.573575654647667,1.0722745993557996,3.625913157323299,2.4761403408998333,1.1497728164236407,2.0921081111323995e-05,1.4287030788467357e-05,0.0013495885320988776,38.76701666632471,
intercept_gap_abs,6,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,6.763592223849976,3.017800359291349,6.0530207964278455,45.74617977052387,9.107119008538994,36.63906076198799,1.3293950372010177e-05,2.6465507882587825e-06,0.013233035018487826,38.00044160978723,
