extreme_type,candidate_id,block_id,x,y,h,p_star,E_theta_sign,row_regime,Q_R2Q,Q_exc,Q_energy_L2,Q_energy_RMS,kappa_L2,kappa_RMS,bridge_argmax_location_fraction,threshold_relevant_flag,forbidden_flag,finite_certified_flag,threshold_relevance_non_surviving_flag,energy_L2_above_0p025_flag,high_energy_harmless_flag,harmful_concentration_flag
top_Q_energy_L2,hexc_00013,14,1195591,1195386,205,1195669,positive,finite_positive,0.0899443884131837,0.0127144572989962,0.0298022102047381,0.0052683362325293,0.42662799878429125,2.4133724078753525,0.7219512195121951,False,False,True,True,True,True,False
top_Q_energy_L2,hexc_00095,96,3438637,3438262,375,3438637,negative,finite_negative,0.0753076301542394,0.0091609752093495,0.0289409320608848,0.0048234886768141,0.3165404344986885,1.8992426069921442,0.3626666666666667,False,False,True,True,True,True,False
top_Q_energy_L2,hexc_00304,305,30386689,30386676,13,30386821,positive,finite_positive,0.0656901337841472,0.0172880108593613,0.0289054037503281,0.0083442713181433,0.598089236486277,2.0718418901086366,0.7692307692307693,False,False,True,True,True,True,False
top_Q_energy_L2,hexc_00004,5,356077,355293,784,356077,negative,finite_negative,0.1566810093663226,0.0128661873649445,0.0285182984397066,0.0046883793831597,0.45115550607432625,2.744271807686652,0.826530612244898,False,False,True,True,True,True,False
top_Q_energy_L2,hexc_00081,82,12782500,12782006,494,12782599,negative,finite_negative,0.0796044258439215,0.0108684538700757,0.0277787667189073,0.0046297944531512,0.39125041007231653,2.347502460433908,0.694331983805668,False,False,True,True,True,True,False
top_Q_energy_L2,hexc_00087,88,3290641,3290318,323,3290641,negative,finite_negative,0.0705553720204413,0.0078480023338476,0.0270342406488881,0.0045696207015524,0.29029860449105616,1.717429705091598,0.09907120743034056,False,False,True,True,True,True,False
top_Q_energy_L2,hexc_00001,2,24181,24178,3,24317,positive,finite_positive,0.1157979799474991,0.0184358992034248,0.0260719675992124,0.0130359837996062,0.70711576075991,1.41423152151982,0.6666666666666666,False,False,True,True,True,True,False
top_Q_energy_L2,hexc_00011,12,3279709,3278912,797,3279709,negative,finite_negative,0.1060058846880691,0.0114062615417102,0.0254216307563309,0.0041792903519915,0.44868331426258445,2.7292340519664853,0.12296110414052698,False,False,True,True,True,True,False
top_Q_energy_L2,hexc_00032,33,1197619,1197615,4,1197697,positive,finite_positive,0.0726584885625681,0.0177247165152088,0.0249378557636041,0.0111525481401007,0.7107554347586446,1.5892974674977514,0.25,False,False,True,True,False,False,False
top_Q_energy_L2,hexc_00242,243,30781189,30781182,7,30781319,positive,finite_positive,0.0666639054628127,0.0156184300412248,0.0247186134594574,0.0087393495993557,0.6318489532935009,1.7871387182378258,0.5714285714285714,False,False,True,True,False,False,False
