rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,E_end_over_h,C_end,endpoint_residual_abs_max,residual_kappa,E_best_over_h,E_gap_over_h,endpoint_residual_fraction,ddR_sq_over_h,distance_to_mean_template,ratio_E_end_to_h4_ddR_sq
C_end,13,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,45.74617977052387,6.763592223849976,109.04298268701496,0.3898721841017818,9.107119008538994,36.63906076198799,1.3293950372010175e-05,,,
C_end,14,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,44.51014034988176,6.671592040126686,9.4707785115379,0.7097839956771442,26.57088212620257,17.939258223697298,7.352200833734836e-07,,,
C_end,15,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,44.30282104878313,6.656036436858135,9.448779086688774,0.7097902164691953,26.446806701358955,17.856014347443043,7.154629182248775e-07,,,
C_end,16,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,44.30134893036435,6.655925850726129,9.448622690862976,0.7097902607968639,26.445925677883285,17.855423252506874,7.589229592880685e-07,,,
C_end,17,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,44.295157736736925,6.655460745638647,9.4479649185605,0.7097904472467811,26.44222041461544,17.85293732212409,7.705762945638789e-07,,,
C_end,18,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,44.28904182928211,6.655001264408754,9.447315099767366,0.7097906314677979,26.43856020875291,17.850481620545494,7.448955074200035e-07,,,
C_end,19,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,44.28886413326652,6.654987913833241,9.447296218789234,0.709790636820829,26.43845386248085,17.850410270786504,7.612323883255991e-07,,,
C_end,20,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,44.27285143166415,6.653784744915043,9.44559464377562,0.7097911193320563,26.428870695008715,17.843980736668392,7.690564429438081e-07,,,
C_end,21,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,42.97725121573247,6.555703716286487,40.1850159934861,0.3165404344986905,12.661502892974855,30.315748322757173,0.0003997805963526,,,
C_end,22,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,42.09537763075,6.488095069490736,85.60944577509645,0.5078700402716325,23.805987239538,18.28939039121296,8.866595523415045e-05,,,
C_end,23,hexc_00270,271,187425023,187423758,1265,187425023,finite_negative,False,False,False,True,42.091371128218206,6.487786304142439,104.27347431840008,0.4518892862356673,20.79100964997896,21.3003614782426,2.7773637107415584e-05,,,
C_end,24,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,42.01752080974671,6.482092317280486,9.20277943201654,0.7098617993670828,25.079161840784288,16.938358968968284,1.1772522978111863e-06,,,
C_end,25,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,41.980707369547154,6.479252068684097,9.198762621303104,0.7098629999103682,25.0571315025788,16.923575866981786,1.153044944529206e-06,,,
endpoint_residual_abs_max,1,hexc_00000,1,180530237,179845447,684790,180530237,forbidden_negative,False,True,True,True,4.240367136346573,2.059215174853413,667.0135370697717,0.3914300949671047,2.9685827172539985,1.2717844190923324,4.980267198828742e-06,,,
endpoint_residual_abs_max,2,hexc_00023,24,180619079,180557417,61662,180619079,finite_negative,False,False,False,True,14.88574250392576,3.8582045699944114,459.0970686143192,0.4791929998780502,9.269848959880932,5.6158935440451145,9.100077814527194e-05,,,
endpoint_residual_abs_max,3,hexc_00006,7,30774449,30670319,104130,30774449,threshold_relevant_negative,False,True,False,True,5.243489587168667,2.289866718210618,363.3590972929378,0.4917426743343533,3.754521262124791,1.488968325043903,3.3053588386700646e-05,,,
endpoint_residual_abs_max,4,hexc_00027,28,109670797,109660803,9994,109670797,finite_negative,False,False,False,True,17.111990579354508,4.136664184987042,335.81014783297,0.8120333708824402,13.599282408268376,3.5127081710860897,8.612504006920932e-05,,,
endpoint_residual_abs_max,5,hexc_00183,184,604356173,604335487,20686,604356173,post_P0_negative_tail,True,False,False,False,10.349219281884606,3.21702024890808,311.51713925927834,0.6732709735132901,9.62221874861588,0.7270005332689072,2.4265633807775945e-05,,,
