extreme_type,candidate_id,block_id,x,y,h,p_star,E_theta_sign,row_regime,Q_R2Q,Q_energy_L2,Q_exc,C_bridge,C_exc,C_rms,post_P0_by_pstar,high_energy,threshold_relevant,forbidden,finite_certified_flag,surviving_proxy_flag,h_over_x,rho_proxy
top_C_bridge,hexc_00254,255,33472333,33472329,4,33472553,positive,finite_positive,0.0583129230101737,0.0201946235958818,0.0143392191682336,6.0623950243430045,4.304611597523929,2.711185476177493,False,False,False,False,True,False,1.1950167919278288e-07,1.1950167919278288e-07
top_C_bridge,hexc_00399,400,31019929,31019925,4,31019993,positive,finite_positive,0.058517488803213,0.0202827788463261,0.0144020784216403,6.035494089121896,4.2855892599068035,2.699155012214952,False,False,False,False,True,False,1.289493602644932e-07,1.289493602644932e-07
top_C_bridge,hexc_00320,321,109471009,109470995,14,109471171,positive,finite_positive,0.0605347509168848,0.0175999931381343,0.0102675552005105,6.0308749175919,3.518316208293316,1.6118191202940944,False,False,False,False,True,False,1.2788774057979132e-07,1.2788774057979132e-07
top_C_bridge,hexc_00297,298,30423259,30423255,4,30423359,positive,finite_positive,0.0588683256744303,0.0203053990582444,0.0144182081956392,6.028627397243738,4.280733646163068,2.696084134250914,False,False,False,False,True,False,1.3147835345319184e-07,1.3147835345319184e-07
top_C_bridge,hexc_00123,124,30340831,30340827,4,30340987,positive,finite_positive,0.0597199396392292,0.0203085588396176,0.0144204613622394,6.027668214267579,4.280055383283951,2.6956551745834028,False,False,False,False,True,False,1.3183554530856458e-07,1.3183554530856458e-07
top_C_bridge,hexc_00251,252,39640132,39639838,294,39640253,positive,finite_positive,0.0623250464295579,0.0193544199730838,0.0073904639568024,5.924145429614268,2.262128409598832,1.015982559357281,False,False,False,False,True,False,7.416726059338047e-06,7.416726059338047e-06
top_C_bridge,hexc_00185,186,22052341,22052337,4,22052431,positive,finite_positive,0.0607248084445193,0.0206876955885622,0.014690835140949,5.91486101763221,4.200286480418953,2.645206262577835,False,False,False,False,True,False,1.813866382711931e-07,1.813866382711931e-07
top_C_bridge,hexc_00431,432,604813747,604812190,1557,604813747,negative,post_P0_negative_tail,0.0809591793277333,0.0143794447369027,0.0057665882988697,5.879263670149526,2.357760936293057,0.9665449934737382,True,False,False,False,False,False,2.574346247457236e-06,2.574346247457236e-06
top_C_bridge,hexc_00222,223,604848841,604844050,4791,604848841,negative,post_P0_negative_tail,0.1356230693499753,0.0142946321039825,0.0069214615088821,5.844620224509285,2.8299653760732,0.9241155984066683,True,False,False,False,False,False,7.920987319871544e-06,7.920987319871544e-06
top_C_bridge,hexc_00013,14,1195591,1195386,205,1195669,positive,finite_positive,0.0899443884131837,0.0298022102047381,0.0127144572989962,5.8364080193795465,2.489975073396485,1.0317409220687042,False,True,False,False,True,False,0.0001714633181414,0.0001714633181414
