block_id,p_star,pos_y,pos_h,pos_theta_local_norm,neg_y,neg_h,neg_theta_local_norm,lag,neg_abs_over_pos
656,1189057,1189056,1,0.0663761106224701,,,,,
657,179470607,179470606,1,0.0498478133280137,,,,,
658,604205663,604205662,1,0.0470113566781223,,,,,
659,40835243,40835242,1,0.053805182595765,,,,,
660,109719919,109719918,1,0.0510972091298465,,,,,
661,17998151,17998150,1,0.0562763606378147,,,,,
662,33915647,33915558,1,0.0543460782769807,,,,,
663,604872131,604872087,4,0.0445631600411676,,,,,
665,179661413,179661412,1,0.0498451812688749,,,,,
666,604874693,604874692,1,0.0470089175969281,,,,,
667,179381333,179381332,1,0.0498490458678419,,,,,
668,108592553,108592552,1,0.0511241011871304,,,,,
669,12837637,12837636,1,0.0573625967336766,,,,,
670,31025339,31025338,1,0.0546094406702662,,,,,
671,30824513,30824512,1,0.0546287404933426,,,,,
672,40834943,40834942,1,0.0538052037863431,,,,,
673,12799261,12799260,1,0.0573724077336704,,,,,
674,187509659,187509555,4,0.0469837495471624,,,,,
675,40882381,40882380,1,0.0538018551296089,,,,,
676,18001673,18001672,1,0.0562757434717453,,,,,
677,179149903,179149902,1,0.0498522441917382,,,,,
678,16183,16182,1,0.0925345985959794,,,,,
679,17989039,17989038,1,0.0562779579722709,,,,,
680,604865039,604864888,3,0.0528691966638168,,,,,
