rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,K_R,eta_aff,K_D,eta_times_KD,Q_exc,Q_energy_L2,C_end
eta_times_KD,12,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,47.12482161579511,4.0678337800586574e-05,1158474.612379948,47.12482161579511,0.0205672364492246,0.0304825946938867,6.864752116121537
eta_times_KD,13,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,45.74617977052387,1.3293950372010177e-05,3441127.6174793327,45.74617977052387,0.0064493327137434,0.0165421719649012,6.763592223849976
eta_times_KD,14,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,44.51014034988176,7.352200833734836e-07,60539886.43189866,44.51014034988176,0.0130495572184996,0.0183852514257526,6.671592040126686
eta_times_KD,15,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,44.30282104878313,7.154629182248775e-07,61921896.88698623,44.30282104878313,0.0130795953907561,0.0184274100815586,6.656036436858135
eta_times_KD,16,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,44.30134893036435,7.589229592880685e-07,58373973.78506327,44.30134893036435,0.0130798087714223,0.0184277095556904,6.655925850726129
eta_times_KD,17,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,44.295157736736925,7.705762945638789e-07,57483156.50146822,44.295157736736925,0.0130807094930725,0.0184289737116236,6.655460745638647
eta_times_KD,18,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,44.28904182928211,7.448955074200035e-07,59456717.6041647,44.28904182928211,0.013081599559448,0.0184302229129119,6.655001264408754
eta_times_KD,19,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,44.288864133266515,7.612323883255992e-07,58180477.8836118,44.288864133266515,0.0130816248069056,0.0184302583442049,6.654987913833241
eta_times_KD,20,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,44.27285143166415,7.690564429438081e-07,57567753.10560527,44.27285143166415,0.0130839545118638,0.0184335280556581,6.653784744915043
eta_times_KD,21,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,42.97725121573246,0.0003997805963526505,107502.0939180895,42.97725121573246,0.0091609752093495,0.0289409320608848,6.555703716286487
eta_times_KD,22,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,42.09537763075,8.866595523415045e-05,474763.7074408533,42.09537763075,0.0110815667281192,0.0218196897816464,6.488095069490736
eta_times_KD,23,hexc_00270,271,187425023,187423758,1265,187425023,finite_negative,False,False,False,True,42.091371128218206,2.7773637107415588e-05,1515515.2695856234,42.091371128218206,0.0080795888060062,0.017879575931775,6.487786304142439
eta_times_KD,24,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,42.01752080974671,1.1772522978111865e-06,35691177.57329337,42.01752080974671,0.0134251522178237,0.0189123463606488,6.482092317280486
eta_times_KD,25,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,41.980707369547154,1.153044944529206e-06,36408561.14822834,41.980707369547154,0.0134309492743368,0.0189204808195844,6.479252068684097
Q_exc,1,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,47.12482161579511,4.0678337800586574e-05,1158474.612379948,47.12482161579511,0.0205672364492246,0.0304825946938867,6.864752116121537
Q_exc,2,hexc_00001,2,24181,24178,3,24317,finite_positive,False,False,False,True,7.070485412778683,0.00029921548732170635,23630.07836281127,7.070485412778683,0.0184358992034248,0.0260719675992124,2.659038437627159
Q_exc,3,hexc_00032,33,1197619,1197615,4,1197697,finite_positive,False,False,False,True,23.862883386655895,3.543982662961964e-05,673335.2179187003,23.8628833866559,0.0177247165152088,0.0249378557636041,4.884965034332988
Q_exc,4,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,73.62931311610959,9.861270095805126e-06,7466514.191455994,73.62931311610959,0.0172880108593613,0.0289054037503281,8.580752479596972
Q_exc,5,hexc_00231,232,7103281,7103277,4,7103387,finite_positive,False,False,False,True,30.40800865514305,1.2155728687056512e-05,2501537.294717812,30.40800865514305,0.0157384918917144,0.0221562198206484,5.514345714148058
Q_exc,6,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,54.00586715584355,5.094887652269624e-06,10600011.392162008,54.00586715584356,0.0156184300412248,0.0247186134594574,7.348868426896997
