q,count,count_frac,sum_W,sum_W_frac,sum_W2,sum_W2_frac,mean_W,mean_W_over_shell2,mean_W2,side_left_frac
10429,1,6.058182787491064e-06,2.316210888118804e-07,2.6873929164615986e-12,5.3648328782400994e-14,8.319165461651795e-19,2.316210888118804e-07,1.4710744335069347e-07,5.3648328782400994e-14,0.0
10433,1,6.058182787491064e-06,2.3144351634974325e-07,2.6853326248907666e-12,5.3566101260333875e-14,8.30641456377476e-19,2.3144351634974325e-07,1.4699466333118625e-07,5.3566101260333875e-14,1.0
10457,1,6.058182787491064e-06,2.303823572939483e-07,2.6730204846430427e-12,5.3076030552316445e-14,8.230420037935154e-19,2.303823572939483e-07,1.4632069881229387e-07,5.3076030552316445e-14,0.0
10463,1,6.058182787491064e-06,2.3011820785192203e-07,2.6699556802116757e-12,5.295438958498036e-14,8.211557356521745e-19,2.3011820785192203e-07,1.4615293192509753e-07,5.295438958498036e-14,1.0
14923,2,1.2116365574982128e-05,2.262461259451223e-07,2.625029695528372e-12,2.5593654752588064e-14,3.9687694563379825e-19,1.1312306297256115e-07,7.184684548050272e-08,1.2796827376294032e-14,0.5
10613,1,6.058182787491064e-06,2.236593741371802e-07,2.595016804556454e-12,5.002351563943515e-14,7.757071152503525e-19,2.236593741371802e-07,1.420507902778202e-07,5.002351563943515e-14,1.0
10627,1,6.058182787491064e-06,2.230704650005757e-07,2.5881839628222723e-12,4.976043235557308e-14,7.7162752243112335e-19,2.230704650005757e-07,1.4167676165246428e-07,4.976043235557308e-14,1.0
10651,1,6.058182787491064e-06,2.2206630400192606e-07,2.576533144804791e-12,4.9313443373075835e-14,7.646961316696094e-19,2.2206630400192606e-07,1.4103899780297385e-07,4.9313443373075835e-14,1.0
15073,2,1.2116365574982128e-05,2.2176552406145634e-07,2.5730433335549677e-12,2.4589973831126183e-14,3.81313016904142e-19,1.1088276203072817e-07,7.042398305644741e-08,1.2294986915563092e-14,1.0
10663,1,6.058182787491064e-06,2.215667642504432e-07,2.570737214924173e-12,4.9091831020411474e-14,7.612596223281189e-19,2.215667642504432e-07,1.4072172956082182e-07,4.9091831020411474e-14,1.0
10667,1,6.058182787491064e-06,2.2140062552594306e-07,2.568809583750078e-12,4.9018236983278867e-14,7.601184106896718e-19,2.2140062552594306e-07,1.4061621134947012e-07,4.9018236983278867e-14,0.0
10723,1,6.058182787491064e-06,2.190941702209903e-07,2.5420488441280502e-12,4.8002255424824287e-14,7.443637378366692e-19,2.190941702209903e-07,1.39151332892786e-07,4.8002255424824287e-14,1.0
10729,1,6.058182787491064e-06,2.1884918980381801e-07,2.5392064490717204e-12,4.789496787778757e-14,7.427000460199243e-19,2.1884918980381801e-07,1.3899574065795944e-07,4.789496787778757e-14,1.0
10739,1,6.058182787491064e-06,2.184418012290555e-07,2.534479706892586e-12,4.7716820524194186e-14,7.399375418660486e-19,2.184418012290555e-07,1.3873699957358319e-07,4.7716820524194186e-14,1.0
10781,1,6.058182787491064e-06,2.1674313045669866e-07,2.5147708115391936e-12,4.6977584600169496e-14,7.284743218427329e-19,2.1674313045669866e-07,1.3765813790473524e-07,4.6977584600169496e-14,1.0
10799,1,6.058182787491064e-06,2.16021188628714e-07,2.506394452699956e-12,4.6665153936562425e-14,7.236295066456311e-19,2.16021188628714e-07,1.3719961740857693e-07,4.6665153936562425e-14,1.0
10837,1,6.058182787491064e-06,2.1450888576672346e-07,2.4888478984561028e-12,4.60140620728812e-14,7.135331232770662e-19,2.1450888576672346e-07,1.3623912193409078e-07,4.60140620728812e-14,0.0
10847,1,6.058182787491064e-06,2.1411355063921219e-07,2.4842610068792087e-12,4.5844612567330486e-14,7.109054953414614e-19,2.1411355063921219e-07,1.3598803624852898e-07,4.5844612567330486e-14,1.0
10889,1,6.058182787491064e-06,2.124650198087935e-07,2.4651338622009712e-12,4.5141384642351e-14,7.000006459306116e-19,2.124650198087935e-07,1.349410195153305e-07,4.5141384642351e-14,1.0
10891,1,6.058182787491064e-06,2.1238699372799373e-07,2.4642285614879997e-12,4.510823510481484e-14,6.994866010498119e-19,2.1238699372799373e-07,1.348914635041745e-07,4.510823510481484e-14,1.0
10909,1,6.058182787491064e-06,2.11686689041228e-07,2.456103248442314e-12,4.4811254317237556e-14,6.948813647510112e-19,2.11686689041228e-07,1.3444668521319476e-07,4.4811254317237556e-14,0.0
10949,1,6.058182787491064e-06,2.101428036717967e-07,2.4381902568968505e-12,4.4159997935043305e-14,6.847824302186684e-19,2.101428036717967e-07,1.3346613102148193e-07,4.4159997935043305e-14,1.0
