candidate_id,block_id,x,y,h,right_endpoint,p_star,post_P0_flag,finite_zone_flag,E_theta,E_theta_sign,Q_R2Q,D_start,D_end,DeltaD,DeltaD_sign,Q_delta_D,bridge_excursion_raw,bridge_excursion_argmax,bridge_path_n_samples,Q_exc,Q_formula_sum,formula_residual,abs_formula_residual,positive_harmless_flag,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,primitive_available_flag,instrumentation_gap_flag
hexc_00068,69,108581987,108578163,3824,108581987,108581987,False,True,-400.9453068567673,negative,0.1469597990717331,-5707.998511750286,-8345.630208395081,-2637.631696644796,negative,0.12458626279728342,92.73975361517205,108579093,39,0.004380482434432583,0.128966745231716,0.017993053840017093,0.017993053840017093,False,False,False,False,True,False
hexc_00069,70,12847921,12847029,892,12847921,12847921,False,True,-139.04176855224262,negative,0.0908608054490663,-1942.7981056797248,-2512.496857466349,-569.6987517866241,negative,0.07119260047589483,62.281139991531745,12847258,36,0.007782984081841725,0.07897558455773655,0.011885220891329748,0.011885220891329748,False,False,False,False,True,False
hexc_00070,71,1191481,1191480,1,1191481,1191481,False,True,12.990707629107597,positive,0.0710316103925829,-735.5225192921255,-749.189876856233,-13.667357564107531,negative,0.06982407555474988,0.0,1191480,2,0.0,0.06982407555474988,0.0012075348378330214,0.0012075348378330214,True,False,False,False,True,False
hexc_00071,72,12843647,12843190,457,12843647,12843647,False,True,-113.26485440576494,negative,0.0679786634633438,-1931.943547177705,-2181.9040251642987,-249.96047798659333,negative,0.04364182645884409,46.755326686867875,12843324,35,0.008163241924206479,0.051805068383050566,0.016173595080293236,0.016173595080293236,False,False,False,False,True,False
hexc_00072,73,40882169,40877269,4900,40882169,40882169,False,True,-220.51959869872007,negative,0.1837301433813745,-3459.772267638376,-7132.910898843928,-3673.138631205552,negative,0.17082975855642113,149.93090214612675,40881113,39,0.0069729630121156,0.17780272156853674,0.005927421812837758,0.005927421812837758,False,False,False,False,True,False
hexc_00073,74,1186291,1186290,1,1186291,1186291,False,True,12.986342191006576,positive,0.0716803042452162,-653.3515415969134,-667.0145337229201,-13.662992126006657,negative,0.06984535338381721,0.0,1186290,2,0.0,0.06984535338381721,0.0018349508613989818,0.0018349508613989818,True,False,False,False,True,False
hexc_00074,75,113195507,113182659,12848,113195507,113195507,False,True,-330.4150379443963,negative,0.2647255241959858,-5799.97247180605,-15688.446175697762,-9888.473703891712,negative,0.2536736118314834,206.45914079307295,113190141,41,0.0052963922956069075,0.2589700041270903,0.005755520068895459,0.005755520068895459,False,False,False,False,True,False
hexc_00075,76,2879,2878,1,2879,2879,False,True,6.965198290612176,positive,0.1282261417306278,-25.51046833492285,-33.152316560535034,-7.641848225612179,negative,0.12044956175546778,7.105427357601002e-15,2879,2,1.1199458377620308e-16,0.1204495617554679,0.007776579975159903,0.007776579975159903,True,False,False,False,True,False
hexc_00076,77,39674417,39673239,1178,39674417,39674417,False,True,-198.21267981504025,negative,0.0933658727593846,-3389.708569071312,-4127.561194778472,-737.8526257071599,negative,0.07022773512529909,51.338631919284126,39673430,37,0.0048863359951688045,0.07511407112046789,0.01825180163891671,0.01825180163891671,False,False,False,False,True,False
hexc_00077,78,3441797,3441229,568,3441797,3441797,False,True,-56.25170384278789,negative,0.0865309897820664,-997.2058860575942,-1392.208998971388,-395.00311291379376,negative,0.07315879400290866,29.338135801005592,3441362,38,0.005433735996818713,0.07859252999972738,0.007938459782339022,0.007938459782339022,False,False,False,False,True,False
hexc_00078,79,109546081,109535495,10586,109546081,109546081,False,True,-330.4584709322444,negative,0.2408302537232801,-5629.528205982864,-13711.075906795208,-8081.547700812343,negative,0.2292074218688508,152.6328723392062,109536245,40,0.004328946441507769,0.23353636831035857,0.00729388541292153,0.00729388541292153,False,False,False,False,True,False
hexc_00079,80,1198513,1198510,3,1198513,1198607,False,True,24.993182690643494,positive,0.0831464357639209,-606.3161341083674,-633.6626166690073,-27.34648256063997,negative,0.08059189383959263,4.557747927809714,1198512,4,0.013431984765541551,0.09402387860513418,-0.01087744284121328,0.01087744284121328,True,False,False,False,True,False
hexc_00080,81,1512197,1512196,1,1512197,1512197,False,True,13.22907411823977,positive,0.0705955645536329,-716.6880418783572,-730.5937659315971,-13.905724053239853,negative,0.0686815873299589,0.0,1512196,2,0.0,0.0686815873299589,0.0019139772236740071,0.0019139772236740071,True,False,False,False,True,False
hexc_00081,82,12782500,12782006,494,12782500,12782599,False,True,-68.54730774172731,negative,0.0796044258439215,-1913.6440995584924,-2237.438634810692,-323.79453525219947,negative,0.05440622301948226,64.68278396224969,12782349,36,0.010868453870075753,0.06527467688955801,0.01432974895436348,0.01432974895436348,False,False,False,False,True,False
hexc_00082,83,42923,42922,1,42923,42923,False,True,9.66716309178561,positive,0.0952612074725035,-107.41920769472448,-117.76302072151007,-10.343813026785613,negative,0.09090395766983898,1.4210854715202004e-14,42923,2,1.248884654177082e-16,0.09090395766983911,0.004357249802664387,0.004357249802664387,True,False,False,False,True,False
hexc_00083,84,617579,617578,1,617579,617579,False,True,12.33356227452393,positive,0.0752538383487422,-456.0210812251439,-469.0312934346679,-13.010212209523957,negative,0.07317993057193176,0.0,617578,2,0.0,0.07317993057193176,0.002073907776810449,0.002073907776810449,True,False,False,False,True,False
hexc_00084,85,10357,10356,1,10357,10357,False,True,8.24541789858888,positive,0.1086725867349362,-52.0671767268039,-60.989244560392784,-8.922067833588883,negative,0.10437883089286956,0.0,10356,2,0.0,0.10437883089286956,0.004293755842066635,0.004293755842066635,True,False,False,False,True,False
