scope,rows,neg_rows,neg_frac,mean_z,median_z,std_z,min_z,max_z,neg_max,neg_median,q01_z,q05_z,q10_z,q90_z,q95_z,median_p_star,median_h,median_mu_over_sqrt_p,median_cp_ratio
depth:0.55-0.60,30,7,0.23333333333333334,0.015019113025339483,0.01252194863986545,0.021097836269965805,-0.03437235322817768,0.05711371157497466,0.03437235322817768,0.00603652731099433,-0.029435168172885308,-0.014058972003349659,-0.006436831148084831,0.04346472655059501,0.04957088078722587,12822095.0,2518.5,0.1507429807663111,0.15720455158556706
pstar_mod_30:1,25,16,0.64,-0.003948292862090676,-0.007445181336138469,0.016951189789370172,-0.03437235322817768,0.0359430301375596,0.03437235322817768,0.015093597512041246,-0.033014068202806966,-0.027016006759520886,-0.020199253260871176,0.015195895210921954,0.025620719288449507,33871261.0,985.0,0.28929666732829,0.0882379519127139
LongA:tail:True,22,21,0.9545454545454546,-0.017169954951461217,-0.017902314235644805,0.008865656955560462,-0.03437235322817768,0.004008488927119768,0.03437235322817768,0.01794450994623471,-0.03425049167245085,-0.033538098714842195,-0.028123903069349893,-0.007301996271119891,-0.0006250595458887731,604683445.0,2571.0,0.22046870955995201,0.10180078544006525
scale:p>=500M,22,21,0.9545454545454546,-0.017169954951461217,-0.017902314235644805,0.008865656955560462,-0.03437235322817768,0.004008488927119768,0.03437235322817768,0.01794450994623471,-0.03425049167245085,-0.033538098714842195,-0.028123903069349893,-0.007301996271119891,-0.0006250595458887731,604683445.0,2571.0,0.22046870955995201,0.10180078544006525
mu:0.018-0.05,6,3,0.5,-0.0005028173656136774,-0.008924587701953144,0.030653980032108633,-0.03437235322817768,0.058606911829291064,0.03437235322817768,0.022823540091301494,-0.03379491257133387,-0.03148514994395863,-0.02859794665973959,0.0360140822648517,0.04731049704707138,392487626.0,57341.5,0.03692061707454365,0.4976899579832857
y_mod_30:1,4,3,0.75,-0.013791888091921228,-0.013538267512100589,0.015117728227250011,-0.03437235322817768,0.006281335884693941,0.03437235322817768,0.02015507619056956,-0.03394583491704944,-0.03223976167253646,-0.030107170116895243,0.002320497469196277,0.0043009166769451025,396060900.0,6779.0,0.15396227513594105,0.17058198656815704
h:h>65536,3,2,0.6666666666666666,0.01790677445282465,-0.0015990424153537095,0.052493372110868755,-0.03437235322817768,0.08969171900200533,0.03437235322817768,0.017985697821765696,-0.0337168870119212,-0.03109502214689528,-0.027817691065612885,0.07143356671853353,0.08056264286026942,180530237.0,151650.0,0.0134771964005777,0.862526348366495
h:1025<=h<=8192,75,47,0.6266666666666667,-0.0021446245867823444,-0.006924355481040229,0.01925888735380933,-0.03379206010566899,0.05413372685817237,0.03379206010566899,0.01500814080264492,-0.031619581168479724,-0.02474500161595399,-0.022111852098369564,0.02689367080592154,0.03601589247307342,108842081.0,1867.0,0.2172071355812351,0.1148387219870256
pstar_mod_30:29,22,11,0.5,0.004323339797824585,-0.0006506834379003078,0.030116508829144045,-0.03379206010566899,0.08969171900200533,0.03379206010566899,0.012879498751893972,-0.03317554581268285,-0.030247103241019067,-0.018599959669184284,0.031925175731300284,0.08062116438641394,40258994.0,1542.0,0.25748773476889275,0.0928370922616083
y_mod_30:9,8,4,0.5,0.0005586459777974844,0.0013646835038643758,0.018305191923422254,-0.03379206010566899,0.02941001018960087,0.03379206010566899,0.010649448585928072,-0.03236625994761895,-0.026663059315418788,-0.019534058525168582,0.0186226496983944,0.024016329943997626,74117849.0,2237.0,0.1659183524653826,0.130463772340876
scale:100M<=p<500M,56,40,0.7142857142857143,-0.007364708919402247,-0.007030279959838813,0.011450140972463189,-0.03085627775811593,0.019326748724831245,0.03085627775811593,0.012155665186364448,-0.028824186136483333,-0.024395458379879175,-0.022286338318617163,0.007719261450421443,0.01087711678037169,109793075.0,1729.0,0.22981288736026273,0.09754958524574445
