x,p_star,y,h,side,source_coordinate,block_id,Q_theta,Q_R2Q,E_theta_local,theta_local_norm,covered_flag,finite_certificate_flag,tail_flag,B2_active_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,scale_ratio_local_to_global,scale_ratio_global_to_local,sign_match,scale_compatibility_ok,localization_ok,crossing_status,post_P0,failure_reason
30816007,30816007,30813688.0,2319.0,negative,theta_local,63,0.0150357367854338,0.1321516982536188,-215.2921471839013,-0.0150357367854338,True,True,False,True,True,False,,True,0.008674854360201137,115.27571051657561,True,True,True,negative_transferred_repaid,False,
604810421,604810421,604757400.0,53021.0,negative,theta_local,64,0.0109871060310642,0.4494568065190746,-1034.3984432700745,-0.0109871060310642,True,False,True,True,True,False,,True,0.009362984931914294,106.80354686799082,True,True,True,negative_transferred_repaid,True,
3438889,3439001,3438886.0,3.0,positive,theta_local,65,0.0690743589894426,0.0792717980142518,27.10131744255433,0.0690743589894426,True,True,False,True,False,True,0.0792717980142518,False,0.000934014090272692,1070.6476598313875,True,True,True,positive_harmless,False,
1196077,1196077,1196076.0,1.0,positive,theta_local,66,0.0663503397116,0.0711424243631883,12.994557592691232,0.0663503397116,True,True,False,True,False,True,0.0711424243631883,False,0.0009143667613759694,1093.6530528462854,True,True,True,positive_harmless,False,
39699197,39699197,39695992.0,3205.0,negative,theta_local,67,0.0153211765083552,0.1495716452263878,-265.53724747196566,-0.0153211765083552,True,True,False,True,True,False,,True,0.008985104981781868,111.29530506628387,True,True,True,negative_transferred_repaid,False,
1192069,1192069,1192068.0,1.0,positive,theta_local,68,0.0663650323383584,0.0712244136304279,12.991201010838148,0.0663650323383584,True,True,False,True,False,True,0.0712244136304279,False,0.0009159026232661555,1091.819124214263,True,True,True,positive_harmless,False,
108581987,108581987,108578163.0,3824.0,negative,theta_local,69,0.0189383064477639,0.1469597990717331,-400.9453068567673,-0.0189383064477639,True,True,False,True,True,False,,True,0.005934444183208561,168.50777749826818,True,True,True,negative_transferred_repaid,False,
12847921,12847921,12847029.0,892.0,negative,theta_local,70,0.0173754024332304,0.0908608054490663,-139.04176855224262,-0.0173754024332304,True,True,False,True,True,False,,True,0.00833232111069425,120.01457777671746,True,True,True,negative_transferred_repaid,False,
1191481,1191481,1191480.0,1.0,positive,theta_local,71,0.0663671925425114,0.0710316103925829,12.990707629107597,0.0663671925425114,True,True,False,True,False,True,0.0710316103925829,False,0.0009161285959483498,1091.5498156291355,True,True,True,positive_harmless,False,
12843647,12843647,12843190.0,457.0,negative,theta_local,72,0.0197754667444977,0.0679786634633438,-113.26485440576494,-0.0197754667444977,True,True,False,True,True,False,,True,0.005965047683192118,167.64325335030063,True,True,True,negative_transferred_repaid,False,
40882169,40882169,40877269.0,4900.0,negative,theta_local,73,0.0102558911015828,0.1837301433813745,-220.51959869872007,-0.0102558911015828,True,True,False,True,True,False,,True,0.010947906392394416,91.34166516939776,True,True,True,negative_transferred_repaid,False,
1186291,1186291,1186290.0,1.0,positive,theta_local,74,0.0663863120997883,0.0716803042452162,12.986342191006576,0.0663863120997883,True,True,False,True,False,True,0.0716803042452162,False,0.0009181304312146575,1089.1698673760673,True,True,True,positive_harmless,False,
113195507,113195507,113182659.0,12848.0,negative,theta_local,75,0.0084762905367088,0.2647255241959858,-330.4150379443963,-0.0084762905367088,True,True,False,True,True,False,,True,0.010653766387126862,93.86351865273843,True,True,True,negative_transferred_repaid,False,
2879,2879,2878.0,1.0,positive,theta_local,76,0.1097843161595848,0.1282261417306278,6.965198290612176,0.1097843161595848,True,True,False,True,False,True,0.1282261417306278,False,0.01863713570725434,53.656313701185255,True,True,True,positive_harmless,False,
39674417,39674417,39673239.0,1178.0,negative,theta_local,77,0.0188655933333372,0.0933658727593846,-198.21267981504025,-0.0188655933333372,True,True,False,True,True,False,,True,0.005449007032203408,183.51967506924493,True,True,True,negative_transferred_repaid,False,
3441797,3441797,3441229.0,568.0,negative,theta_local,78,0.0104184161572551,0.0865309897820664,-56.25170384278789,-0.0104184161572551,True,True,False,True,True,False,,True,0.01284640300036203,77.8428015976004,True,True,True,negative_transferred_repaid,False,
109546081,109546081,109535495.0,10586.0,negative,theta_local,79,0.0093724045147303,0.2408302537232801,-330.4584709322444,-0.0093724045147303,True,True,False,True,True,False,,True,0.009830316984851505,101.72611946705256,True,True,True,negative_transferred_repaid,False,
1198513,1198607,1198510.0,3.0,positive,theta_local,80,0.073656563386218,0.0831464357639209,24.993182690643494,0.073656563386218,True,True,False,True,False,True,0.0831464357639209,False,0.0015821371190578566,632.0564684023644,True,True,True,positive_harmless,False,
1512197,1512197,1512196.0,1.0,positive,theta_local,81,0.0653395541194198,0.0705955645536329,13.22907411823977,0.0653395541194198,True,True,False,True,False,True,0.0705955645536329,False,0.000813197086382968,1229.714194437065,True,True,True,positive_harmless,False,
12782500,12782599,12782006.0,494.0,negative,theta_local,82,0.0115177981909939,0.0796044258439215,-68.54730774172731,-0.0115177981909939,True,True,False,True,True,False,,True,0.0062166438129480535,160.85850019542627,True,True,True,negative_transferred_repaid,False,
42923,42923,42922.0,1.0,positive,theta_local,83,0.0849573926179324,0.0952612074725035,9.66716309178561,0.0849573926179324,True,True,False,True,False,True,0.0952612074725035,False,0.004826751784717897,207.1786668554463,True,True,True,positive_harmless,False,
617579,617579,617578.0,1.0,positive,theta_local,84,0.0693739053920691,0.0752538383487422,12.33356227452393,0.0693739053920691,True,True,False,True,False,True,0.0752538383487422,False,0.0012724881305286443,785.8619471637496,True,True,True,positive_harmless,False,
10357,10357,10356.0,1.0,positive,theta_local,85,0.0964627367254228,0.1086725867349362,8.24541789858888,0.0964627367254228,True,True,False,True,False,True,0.1086725867349362,False,0.009826141455536825,101.76934705499491,True,True,True,positive_harmless,False,
15859,15859,15858.0,1.0,positive,theta_local,86,0.0927057894159821,0.1069835705399953,8.6714924414986,0.0927057894159821,True,True,False,True,False,True,0.1069835705399953,False,0.007940760553235355,125.93252161375948,True,True,True,positive_harmless,False,
