scope,residual,rows,mean_z,median_z,std_z,rms_z,min_z,max_z,neg_frac,neg_mean,neg_max,q01_z,q05_z,q10_z,q90_z,q95_z,q99_z,pass_Q_le_1_frac,pass_Q_le_0p1_frac,pass_Q_le_0p05_frac,worst_block_id,worst_p_star,worst_y,worst_h,worst_is_tail,worst_neg_Q,worst_z
decade:1e5-1e6,fitted,35,0.02330585840477459,0.03313913453636673,0.03108356093729626,0.03885036417494709,-0.06278636942038379,0.0472342038218283,0.11428571428571428,0.007081648080182558,0.06278636942038379,-0.06268397152647454,-0.0623405464693944,-0.026803720951183233,0.04179702062839788,0.04372766421890656,0.046490759927071974,1.0,1.0,0.8857142857142857,26,230647,230560,3,False,0.06278636942038379,-0.06278636942038379
decade:1e5-1e6,canonical_scaled,35,0.08076688128305126,0.09065590480476918,0.029638307873827256,0.08603324012156155,0.005074113749470822,0.1130830804299642,0.0,0.0,0.0,0.00512795628406651,0.006545421371793475,0.02029669009969156,0.10598550883436411,0.10977765402390002,0.11240935744760634,1.0,1.0,1.0,5,356077,355293,784,False,0.0,0.036399211772755694
decade:1e5-1e6,canonical_raw,35,0.08082620111112782,0.09071782034578346,0.02964681989564907,0.08609186207755952,0.00510933464475996,0.11315396530060888,0.0,0.0,0.0,0.005163168620457469,0.006580582296829995,0.02034733556958797,0.10605460633333035,0.1098487553884878,0.11248031737128322,1.0,1.0,1.0,5,356077,355293,784,False,0.0,0.036469249318739363
decade:1e6-1e7,fitted,198,0.016523640313822953,0.015503690255453763,0.023793872568998245,0.02896858748800711,-0.05867831392447795,0.19262477461360922,0.06060606060606061,0.0026378795406845437,0.05867831392447795,-0.05852877653143352,-0.018648310182126104,0.009946719119294192,0.023402353140246288,0.03806355110370205,0.0805312576295192,1.0,1.0,0.9646464646464646,58,1188511,1188358,3,False,0.05867831392447795,-0.05867831392447795
decade:1e6-1e7,canonical_scaled,198,0.05453575819029204,0.05636444328573413,0.02129240021534307,0.05854498465556504,-0.01826160714045132,0.15815331084447667,0.06060606060606061,0.000456821510780895,0.01826160714045132,-0.010614006111503933,-0.002221047057629388,0.03239711678547136,0.07075867369690815,0.07116114702073906,0.07342641932716568,1.0,1.0,1.0,78,3441797,3441229,568,False,0.01826160714045132,-0.01826160714045132
decade:1e6-1e7,canonical_raw,198,0.05458251401229039,0.056409479000640604,0.021297297835010488,0.05859032113732625,-0.01823684323663023,0.15823703507018536,0.06060606060606061,0.0004549479356633807,0.01823684323663023,-0.01059060336602211,-0.0021916842883451847,0.03246993386371207,0.07081046846172925,0.07121293087273213,0.07347857701744177,1.0,1.0,1.0,78,3441797,3441229,568,False,0.01823684323663023,-0.01823684323663023
decade:1e7-1e8,fitted,536,0.0038827508275277216,0.00357443909504105,0.01885621481112924,0.019251820459170007,-0.057294691477555046,0.12102743258824449,0.08395522388059702,0.0025362727819533337,0.057294691477555046,-0.05211762096391482,-0.021555905048878693,0.0016685827752433576,0.007521437717057592,0.015716492907502135,0.11461052022331289,1.0,1.0,0.9720149253731343,272,39651113,39650618,347,False,0.057294691477555046,-0.057294691477555046
decade:1e7-1e8,canonical_scaled,536,0.03139979726333285,0.03489175991705662,0.017015629474174215,0.035713847658587435,-0.03946320129494251,0.09741016508126629,0.08768656716417911,0.0011439653173931478,0.03946320129494251,-0.01778446160641025,-0.013035270986963325,0.005342584038461732,0.041881331864132385,0.04275206884262411,0.0911181573427991,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03946320129494251,-0.03946320129494251
decade:1e7-1e8,canonical_raw,536,0.03143568972271988,0.03492568529553874,0.01702127517567994,0.03574809641014938,-0.03945333721536144,0.09746752665571752,0.08768656716417911,0.0011418627819597417,0.03945333721536144,-0.0177656308554624,-0.013014338360828439,0.00537856726037702,0.041919160903229766,0.04279001444950446,0.09125659660366651,1.0,1.0,1.0,272,39651113,39650618,347,False,0.03945333721536144,-0.03945333721536144
decade:1e8-1e9,fitted,672,-0.002413572110134635,-0.00154708716469716,0.014783573264668093,0.01497929800767142,-0.04978339910758268,0.09796744091825552,0.8883928571428571,0.00416500236512695,0.04978339910758268,-0.04865128141198617,-0.021053161906411176,-0.005135845310911202,9.681166089019476e-05,0.0005526896467133832,0.09018581997052086,1.0,1.0,1.0,327,109497203,109497076,3,False,0.04978339910758268,-0.04978339910758268
