candidate_id,block_id,y,h,p_star,post_P0_flag,sample_count,sample_count_over_h,offsets_sorted,offsets_full_length,sample_offsets_min,sample_offsets_max,left_endpoint_sampled_flag,right_endpoint_sampled_flag,offset_gap_pattern,sample_offset_gaps_max,sample_offset_gaps_mean,sample_offset_gaps_median,simple_geometric_h_match_flag,simple_geometric_h_symmetric_difference_count,simple_geometric_h_missing_offsets,simple_geometric_h_extra_offsets,grid_origin_rule,grid_depends_on_Lambda_by_code_flag,grid_depends_on_candidate_h_flag,grid_depends_on_parent_sr11_y_path_flag,grid_endpoint_complete_flag,lambda_event_count,samples_on_event_count,event_to_sample_alignment_score,nearest_sample_distance_to_event_mean,nearest_sample_distance_to_event_max,K_prime_sampled,optional_K_prime_full,optional_full_to_sampled_energy_ratio,Q_R2Q,E_theta_sign,threshold_relevant_flag,forbidden_flag,finite_zone_flag,row_status
hexc_00010,11,210,1,211,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.1912764152417241,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00011,12,3278912,797,3279709,False,37,0.04642409033877039,"0,1,2,3,4,5,6,7,8,10,12,14,16,18,21,26,31,32,38,45,55,64,67,81,98,118,128,143,173,209,254,307,371,450,544,659,797",113,0,797,True,True,"1,1,1,1,1,1,1,1,2,2,2,2,2,3,5,5,1,6,7,10,9,3,14,17,20,10,15,30,36,45,53,64,79,94,115,138",138,22.13888888888889,5.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,42,2,0.4931068220225919,19.857142857142858,68.0,32.84926768012791,728.1817657227735,22.16736679835592,0.1060058846880691,negative,False,False,True,primitive_full_verified
hexc_00012,13,42898,1,42899,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.0968247715409328,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00013,14,1195386,205,1195669,False,32,0.15609756097560976,"0,1,2,3,4,5,6,7,8,10,11,13,16,18,21,25,30,32,35,41,48,56,64,66,78,92,108,126,128,148,174,205",92,0,205,True,True,"1,1,1,1,1,1,1,1,2,1,2,3,2,3,4,5,2,3,6,7,8,8,2,12,14,16,18,2,20,26,31",31,6.612903225806452,3.0,False,28,"15,24,28,33,38,45,52,61,71,82,96,112,130,151,176","25,30,35,41,48,56,66,78,92,108,126,148,174",routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,16,2,0.7243388614970865,5.125,13.0,34.13933734207035,354.60178243066593,10.386897053027612,0.0899443884131837,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00014,15,43132,1,43133,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.0943896668138165,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00015,16,58308,1,58309,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.0939517191622745,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00016,17,59332,1,59333,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.0929815072257821,positive,False,False,True,sign_inconsistent_positive_harmless
hexc_00017,18,3239129,1964,3241093,False,39,0.01985743380855397,"0,1,2,3,4,5,6,7,8,9,10,11,13,16,17,21,26,32,40,49,61,64,76,95,117,128,146,181,225,279,347,431,535,665,826,1025,1273,1581,1964",125,0,1964,True,True,"1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,5,6,8,9,12,3,12,19,22,11,18,35,44,54,68,84,104,130,161,199,248,308,383",383,51.68421052631579,8.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,120,1,0.2452410217538334,50.48333333333333,182.0,10.994680462888994,1778.6898789572522,161.77731448958167,0.159654089699117,negative,False,False,True,primitive_full_verified
hexc_00018,19,1513853,1344,1515197,False,37,0.027529761904761904,"0,1,2,3,4,5,6,8,10,12,15,16,18,22,27,32,33,41,50,61,64,75,93,114,128,140,172,211,259,318,391,480,590,725,890,1094,1344",118,0,1344,True,True,"1,1,1,1,1,1,2,2,2,3,1,2,4,5,5,1,8,9,11,3,11,18,21,14,12,32,39,48,59,73,89,110,135,165,204,250",250,37.333333333333336,8.5,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,90,3,0.3197124128171703,31.988888888888887,108.0,13.194484781289816,1554.621657068039,117.82359696776794,0.1510851987794436,negative,False,False,True,primitive_full_verified
hexc_00019,20,58510,1,58511,False,2,2.0,"0,1",3,0,1,True,True,1,1,1.0,1.0,True,0,,,routeA_sr11_available_subgrid_plus_endpoints,False,True,True,True,1,1,1.0,0.0,0.0,0.0,0.0,inf,0.0923670994574258,positive,False,False,True,sign_inconsistent_positive_harmless
