candidate_id,x,source,theta_candidate_flag,B3_candidate_flag,post_P0_flag,finite_certificate_flag,selected_block_id,covered_flag,control_relation_flag,status
cand_00269,17643289,theta,True,False,False,True,theta_local:270:17643288:1,True,True,covered
cand_00270,187425023,theta,True,False,False,True,theta_local:271:187423758:1265,True,True,covered
cand_00271,39650965,theta,True,False,False,True,theta_local:272:39650618:347,True,True,covered
cand_00272,30401963,theta,True,False,False,True,theta_local:273:30401962:1,True,True,covered
cand_00273,109547591,theta,True,False,False,True,theta_local:274:109546815:776,True,True,covered
cand_00274,109494199,theta,True,False,False,True,theta_local:275:109492961:1238,True,True,covered
cand_00275,108562160,theta,True,False,False,True,theta_local:276:108561847:313,True,True,covered
cand_00276,7103683,theta,True,False,False,True,theta_local:277:7103682:1,True,True,covered
cand_00277,30401417,theta,True,False,False,True,theta_local:278:30401416:1,True,True,covered
cand_00278,40863643,theta,True,False,False,True,theta_local:279:40862800:843,True,True,covered
cand_00279,33913261,theta,True,False,False,True,theta_local:280:33913260:1,True,True,covered
cand_00280,108810601,theta,True,False,False,True,theta_local:281:108810600:1,True,True,covered
cand_00281,1512877,theta,True,False,False,True,theta_local:282:1512876:1,True,True,covered
cand_00282,17591999,theta,True,False,False,True,theta_local:283:17591998:1,True,True,covered
cand_00283,30400757,theta,True,False,False,True,theta_local:284:30400756:1,True,True,covered
cand_00284,187503637,theta,True,False,False,True,theta_local:285:187502433:1204,True,True,covered
cand_00285,1188899,theta,True,False,False,True,theta_local:286:1188898:1,True,True,covered
cand_00286,108554851,theta,True,False,False,True,theta_local:287:108554850:1,True,True,covered
cand_00287,108533473,theta,True,False,False,True,theta_local:288:108533470:3,True,True,covered
cand_00288,187420763,theta,True,False,False,True,theta_local:289:187420762:1,True,True,covered
cand_00289,1200061,theta,True,False,False,True,theta_local:290:1200060:1,True,True,covered
cand_00290,22052747,theta,True,False,False,True,theta_local:291:22052746:1,True,True,covered
cand_00291,1196119,theta,True,False,False,True,theta_local:292:1196118:1,True,True,covered
cand_00292,179406523,theta,True,False,False,True,theta_local:293:179405418:1105,True,True,covered
cand_00293,40836767,theta,True,False,False,True,theta_local:294:40836766:1,True,True,covered
cand_00294,30775879,theta,True,False,False,True,theta_local:295:30775878:1,True,True,covered
cand_00295,12422077,theta,True,False,False,True,theta_local:296:12422076:1,True,True,covered
cand_00296,604724143,theta,True,False,True,False,theta_local:297:604718720:5423,True,True,covered
cand_00297,30423259,theta,True,False,False,True,theta_local:298:30423255:4,True,True,covered
cand_00298,39651863,theta,True,False,False,True,theta_local:299:39651244:619,True,True,covered
cand_00299,108555463,theta,True,False,False,True,theta_local:300:108555462:1,True,True,covered
cand_00300,604360789,theta,True,False,True,False,theta_local:301:604358714:2075,True,True,covered
cand_00301,30848879,theta,True,False,False,True,theta_local:302:30848878:1,True,True,covered
cand_00302,155849,theta,True,False,False,True,theta_local:303:155848:1,True,True,covered
cand_00303,604870961,theta,True,False,True,False,theta_local:304:604869251:1710,True,True,covered
cand_00304,30386689,theta,True,False,False,True,theta_local:305:30386676:13,True,True,covered
cand_00305,17997751,theta,True,False,False,True,theta_local:306:17997750:1,True,True,covered
cand_00306,17642591,theta,True,False,False,True,theta_local:307:17642590:1,True,True,covered
cand_00307,2275513,theta,True,False,False,True,theta_local:308:2275512:1,True,True,covered
cand_00308,108834839,theta,True,False,False,True,theta_local:309:108833866:973,True,True,covered
cand_00309,3459473,theta,True,False,False,True,theta_local:310:3459472:1,True,True,covered
cand_00310,1516759,theta,True,False,False,True,theta_local:311:1516758:1,True,True,covered
cand_00311,12785933,theta,True,False,False,True,theta_local:312:12785932:1,True,True,covered
cand_00312,33868273,theta,True,False,False,True,theta_local:313:33868272:1,True,True,covered
cand_00313,30402367,theta,True,False,False,True,theta_local:314:30402366:1,True,True,covered
cand_00314,33926353,theta,True,False,False,True,theta_local:315:33926350:3,True,True,covered
cand_00315,604434563,theta,True,False,True,False,theta_local:316:604433380:1183,True,True,covered
cand_00316,12783493,theta,True,False,False,True,theta_local:317:12783492:1,True,True,covered
cand_00317,30820421,theta,True,False,False,True,theta_local:318:30820420:1,True,True,covered
cand_00318,109684921,theta,True,False,False,True,theta_local:319:109684920:1,True,True,covered
cand_00319,604702619,theta,True,False,True,False,theta_local:320:604700469:2150,True,True,covered
cand_00320,109471009,theta,True,False,False,True,theta_local:321:109470995:14,True,True,covered
cand_00321,39669379,theta,True,False,False,True,theta_local:322:39669378:1,True,True,covered
cand_00322,179438221,theta,True,False,False,True,theta_local:323:179438217:4,True,True,covered
cand_00323,109683631,theta,True,False,False,True,theta_local:324:109683630:1,True,True,covered
cand_00324,1190201,theta,True,False,False,True,theta_local:325:1190200:1,True,True,covered
cand_00325,187501387,theta,True,False,False,True,theta_local:326:187501386:1,True,True,covered
cand_00326,109497079,theta,True,False,False,True,theta_local:327:109497076:3,True,True,covered
cand_00327,33488869,theta,True,False,False,True,theta_local:328:33488866:3,True,True,covered
cand_00328,109452151,theta,True,False,False,True,theta_local:329:109452148:3,True,True,covered
cand_00329,187419913,theta,True,False,False,True,theta_local:330:187418830:1083,True,True,covered
cand_00330,33415939,theta,True,False,False,True,theta_local:331:33415938:1,True,True,covered
cand_00331,40835099,theta,True,False,False,True,theta_local:332:40835098:1,True,True,covered
