metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,rho,W,K,rho_bin,W_bin,event_count,sample_count
spectral_tightness,5,hexc_00006,7,30774449,104130,False,16077.367101819216,2.950329231534745e-06,1779248.2415295793,5.2493680971415095,1e-8..1e-5,>1M,5986,41
spectral_tightness,6,hexc_00009,10,178298621,43765,False,9886.532005546826,4.543373039781753e-06,798074.177811984,3.625948703216957,1e-8..1e-5,100k..1M,2211,40
spectral_tightness,7,hexc_00023,24,180619079,61662,False,3395.683617838473,1.2944315269216204e-05,1150120.8492122318,14.8875268699018,1e-5..1e-4,>1M,3182,41
spectral_tightness,8,hexc_00008,9,12883477,11482,False,3150.135223931327,1.9210479624522343e-05,180102.6915603797,3.4598590865423064,1e-5..1e-4,100k..1M,672,39
spectral_tightness,9,hexc_00048,49,33902159,13400,False,2598.0932576280584,2.1421708405269822e-05,227279.07943450435,4.86870616626411,1e-5..1e-4,100k..1M,756,41
spectral_tightness,10,hexc_00024,25,109813367,23159,False,2407.5160346027374,2.0778047940193143e-05,415443.40602984704,8.632103006925286,1e-5..1e-4,100k..1M,1212,41
spectral_tightness,11,hexc_00020,21,30847123,15789,False,2307.234632315036,2.3709390930342185e-05,264952.9009793016,6.281871907446504,1e-5..1e-4,100k..1M,891,40
spectral_tightness,12,hexc_00104,105,604432601,22162,True,2195.321042341799,2.06217770804309e-05,434187.6454525263,8.953720835599166,1e-5..1e-4,100k..1M,1062,41
spectral_tightness,13,hexc_00183,184,604356173,20686,True,1860.4289505779748,2.5173556665508988e-05,410878.7045005271,10.343278350394945,1e-5..1e-4,100k..1M,1005,40
spectral_tightness,14,hexc_00061,62,113166227,11734,False,1588.1888696804992,3.216669824117494e-05,207022.77611569525,6.659239168363888,1e-5..1e-4,100k..1M,602,40
spectral_tightness,15,hexc_00074,75,113195507,12848,False,774.1900784023444,6.586142262327108e-05,232219.20970225587,15.294287511442286,1e-5..1e-4,100k..1M,676,41
spectral_tightness,16,hexc_00127,128,187449539,9358,False,770.861123110828,6.639280241488409e-05,170999.7579549638,11.353153142896916,1e-5..1e-4,100k..1M,472,39
spectral_tightness,17,hexc_00053,54,7112297,2259,False,757.9967021634751,9.644325243875656e-05,33853.02606893026,3.264895938981648,1e-5..1e-4,10k..100k,136,39
spectral_tightness,18,hexc_00296,297,604724143,5423,True,698.7251710948607,7.391554499757357e-05,103850.3529007753,7.676155432851152,1e-5..1e-4,100k..1M,254,41
spectral_tightness,19,hexc_00078,79,109546081,10586,False,680.2631226360235,7.530717556786893e-05,189848.613817078,14.29696289203924,1e-5..1e-4,100k..1M,554,40
spectral_tightness,20,hexc_00090,91,179602723,7407,False,652.6821295987559,7.941841966392738e-05,132212.75696279283,10.500128217395918,1e-5..1e-4,100k..1M,366,38
