block_id,p_star,y,h,theta_local_error,theta_local_norm,Q_max,D_start_norm,D_end_norm,delta_D_norm,prime_minus_repay_norm,cp_residual_norm,k4_sym_comp_norm,is_tail,scale_bin,depth_bin,mu_bin,h_bin,pstar_mod_30,y_mod_30
80,1198607,1198510,3,24.993182690643494,0.073656563386218,0.0831464357639209,-0.5538099065562926,-0.5787882175389333,-0.0249783109826407,0.0805918938395926,-0.0831464357639209,0.0021344754843906,False,p<100M,0.50-0.55,0.50-1.00,2<=h<=4,17,10
172,1198397,1198360,3,24.99293236459349,0.0736576698291679,0.0829932104381138,-0.5363700714006937,-0.561350342145027,-0.0249802707443333,0.0805931739270694,-0.0829932104381138,0.0021345289266871,False,p<100M,0.50-0.55,0.50-1.00,2<=h<=4,17,10
303,155849,155848,1,10.956642868748848,0.0766406167450937,0.0823330539773264,-0.551034412737785,-0.580502411924554,-0.029467999186769,0.081373715100142,-0.0823330539773264,0.0025331025493284,False,p<100M,0.50-0.55,0.10-0.25,h=1,29,28
601,231131,231130,1,11.35073992833084,0.0744111847870341,0.0819644318764493,-0.4950125369957981,-0.5200299437385618,-0.0250174067427637,0.0788470474415688,-0.0819644318764493,0.0023740252485325,False,p<100M,0.50-0.55,0.50-1.00,h=1,11,10
455,230891,230890,1,11.349701016670412,0.0744168930515604,0.0812431088851837,-0.4992276985390648,-0.5242559419987586,-0.0250282434596937,0.0788535020663953,-0.0812431088851837,0.0023744246924141,False,p<100M,0.50-0.55,0.50-1.00,h=1,11,10
107,231701,231700,1,11.35320302633692,0.0743976548454212,0.0810551545684911,-0.5987701514374232,-0.6237618840095346,-0.0249917325721114,0.078831748748131,-0.0810551545684911,0.0023730786318724,False,p<100M,0.50-0.55,0.50-1.00,h=1,11,10
149,1511863,1511818,3,25.45764956203124,0.0725968668312942,0.0810451897299419,-0.5843310754404843,-0.6069493564838048,-0.0226182810433203,0.07930770621417,-0.0810451897299419,0.0020653842291243,False,p<100M,0.50-0.55,0.25-0.50,2<=h<=4,13,28
214,231107,231106,1,11.350636085721526,0.0744117553076697,0.081042286548022,-0.5463027174844646,-0.5713212071897421,-0.0250184897052774,0.078847692554879,-0.081042286548022,0.0023740651697173,False,p<100M,0.50-0.55,0.50-1.00,h=1,17,16
194,33878389,33877658,605,1.8396280710575184,0.0002487940109059,0.0805833243274027,-0.5242228700759377,-0.6071027602967083,-0.0828798902207705,0.0652409739893801,-0.0805833243274027,-0.0021967627903795,False,p<100M,0.50-0.55,0.25-0.50,257<=h<=1024,19,8
35,354953,354952,1,11.779740665326448,0.0721259667898836,0.080127585396028,-0.5687954579883777,-0.5897031836336452,-0.0209077256452674,0.0762690147674882,-0.080127585396028,0.0022173140312764,False,p<100M,0.55-0.60,>=1.00,h=1,23,22
