metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,lambda_event_count,prime_event_count,prime_power_event_count,sample_count,B_prime_effective_support_frac
sample_count_over_h,7,hexc_01462,1463,109595639,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,8,hexc_01446,1447,109705723,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,9,hexc_01445,1446,604678229,1,True,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,10,hexc_01444,1445,604207243,1,True,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,11,hexc_01443,1444,604685981,1,True,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,12,hexc_01442,1443,30799499,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,13,hexc_01441,1442,179433103,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,14,hexc_01440,1441,178013243,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,15,hexc_01439,1440,179403071,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,16,hexc_01438,1439,109567151,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,17,hexc_01437,1438,604849351,1,True,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,18,hexc_01436,1437,30780143,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,19,hexc_01435,1436,108596009,1,False,2.0,0.0,1,1,0,2,0.0
sample_count_over_h,20,hexc_01434,1435,108624419,1,False,2.0,0.0,1,1,0,2,0.0
B_prime_effective_support_frac,1,hexc_00679,680,604865039,3,True,0.49999999975471576,30.286611400725715,2,2,0,4,0.49999999975471576
B_prime_effective_support_frac,2,hexc_00607,608,604715411,3,True,0.499999999754652,30.28587059831881,2,2,0,4,0.499999999754652
B_prime_effective_support_frac,3,hexc_00452,453,180641999,3,False,0.4999999991264763,26.7746028925046,2,2,0,4,0.4999999991264763
B_prime_effective_support_frac,4,hexc_00485,486,179621809,3,False,0.49999999912125304,26.75865279664806,2,2,0,4,0.49999999912125304
B_prime_effective_support_frac,5,hexc_00410,411,179436077,3,False,0.49999999912029514,26.755739478454625,2,2,0,4,0.49999999912029514
B_prime_effective_support_frac,6,hexc_00558,559,179412683,3,False,0.49999999912017556,26.755376513433816,2,2,0,4,0.49999999912017556
B_prime_effective_support_frac,7,hexc_00369,370,179411909,3,False,0.49999999912017107,26.755361636100748,2,2,0,4,0.49999999912017107
B_prime_effective_support_frac,8,hexc_00519,520,179378513,3,False,0.4999999991199994,26.754839281508357,2,2,0,4,0.4999999991199994
B_prime_effective_support_frac,9,hexc_00349,350,178894987,3,False,0.49999999911749504,26.747239083523343,2,2,0,4,0.49999999911749504
B_prime_effective_support_frac,10,hexc_00634,635,109814437,3,False,0.49999999852444665,25.391063749181825,2,2,0,4,0.49999999852444665
B_prime_effective_support_frac,11,hexc_00457,458,109709861,3,False,0.49999999852296295,25.38844865131735,2,2,0,4,0.49999999852296295
B_prime_effective_support_frac,12,hexc_00536,537,109705961,3,False,0.4999999985229097,25.388354600598337,2,2,0,4,0.4999999985229097
B_prime_effective_support_frac,13,hexc_00486,487,109567891,3,False,0.4999999985209466,25.384898559114713,2,2,0,4,0.4999999985209466
B_prime_effective_support_frac,14,hexc_00326,327,109497203,3,False,0.49999999851994,25.38312901952757,2,2,0,4,0.49999999851994
B_prime_effective_support_frac,15,hexc_00328,329,109452269,3,False,0.49999999851929955,25.382003547914707,2,2,0,4,0.49999999851929955
B_prime_effective_support_frac,16,hexc_00287,288,108533687,3,False,0.4999999985060862,25.358893800007166,2,2,0,4,0.4999999985060862
B_prime_effective_support_frac,17,hexc_00197,198,40839853,3,False,0.49999999580840965,22.75046237886337,2,2,0,4,0.49999999580840965
B_prime_effective_support_frac,18,hexc_00150,151,39670973,3,False,0.49999999567776265,22.67514130993344,2,2,0,4,0.49999999567776265
B_prime_effective_support_frac,19,hexc_00314,315,33926539,3,False,0.4999999949003254,22.271502725498255,2,2,0,4,0.4999999949003254
B_prime_effective_support_frac,20,hexc_00327,328,33489013,3,False,0.499999994829836,22.238174237268776,2,2,0,4,0.499999994829836
single_shock_bound_K,1,hexc_01073,1074,604884331,1,True,817.7411074152842,0.0,1,1,0,2,0.0
single_shock_bound_K,2,hexc_01423,1424,604884127,1,True,817.7410801373919,0.0,1,1,0,2,0.0
single_shock_bound_K,3,hexc_00665,666,604874693,1,True,817.7398186590334,0.0,1,1,0,2,0.0
single_shock_bound_K,4,hexc_00597,598,604874233,1,True,817.7397571491165,0.0,1,1,0,2,0.0
single_shock_bound_K,5,hexc_01173,1174,604873349,1,True,817.7396389429775,0.0,1,1,0,2,0.0
single_shock_bound_K,6,hexc_01454,1455,604873177,1,True,817.7396159435739,0.0,1,1,0,2,0.0
single_shock_bound_K,7,hexc_01344,1345,604872871,1,True,817.7395750260151,0.0,1,1,0,2,0.0
single_shock_bound_K,8,hexc_01281,1282,604872803,1,True,817.7395659332216,0.0,1,1,0,2,0.0
single_shock_bound_K,9,hexc_01327,1328,604872761,1,True,817.7395603170837,0.0,1,1,0,2,0.0
single_shock_bound_K,10,hexc_01298,1299,604872721,1,True,817.7395549683808,0.0,1,1,0,2,0.0
single_shock_bound_K,11,hexc_01415,1416,604872577,1,True,817.7395357130478,0.0,1,1,0,2,0.0
single_shock_bound_K,12,hexc_01378,1379,604872551,1,True,817.7395322363898,0.0,1,1,0,2,0.0
single_shock_bound_K,13,hexc_01408,1409,604872473,1,True,817.7395218064153,0.0,1,1,0,2,0.0
single_shock_bound_K,14,hexc_00977,978,604872287,1,True,817.7394969349328,0.0,1,1,0,2,0.0
single_shock_bound_K,15,hexc_01021,1022,604871249,1,True,817.7393581358804,0.0,1,1,0,2,0.0
single_shock_bound_K,16,hexc_01261,1262,604871021,1,True,817.7393276481968,0.0,1,1,0,2,0.0
single_shock_bound_K,17,hexc_00869,870,604866473,1,True,817.7387194968601,0.0,1,1,0,2,0.0
single_shock_bound_K,18,hexc_01167,1168,604866191,1,True,817.738681788125,0.0,1,1,0,2,0.0
single_shock_bound_K,19,hexc_01033,1034,604866091,1,True,817.7386684162288,0.0,1,1,0,2,0.0
single_shock_bound_K,20,hexc_01201,1202,604864277,1,True,817.7384258496718,0.0,1,1,0,2,0.0
event_l2_bound_K,1,hexc_00320,321,109471171,14,False,1370.65369680861,36.46418346454122,4,4,0,14,0.20857142952680024
event_l2_bound_K,2,hexc_00304,305,30386821,13,False,1096.0843888793988,73.9100313047598,4,4,0,12,0.23256802574192237
event_l2_bound_K,3,hexc_00679,680,604865039,3,True,1090.318010426126,30.286611400725715,2,2,0,4,0.49999999975471576
event_l2_bound_K,4,hexc_00607,608,604715411,3,True,1090.2913415394773,30.28587059831881,2,2,0,4,0.499999999754652
event_l2_bound_K,5,hexc_00355,356,33821677,7,False,1030.484425831929,55.20452323086655,3,3,0,8,0.31499999737358314
event_l2_bound_K,6,hexc_00662,663,604872131,4,True,1022.1743382406852,51.10871692039162,2,2,0,5,0.3999999999345915
event_l2_bound_K,7,hexc_00242,243,30781319,7,False,1019.3171945454914,54.60627873649688,3,3,0,8,0.31499999709840154
event_l2_bound_K,8,hexc_00245,246,12808469,16,False,1004.3744898358036,31.386703685806403,4,4,0,15,0.22222220865249792
event_l2_bound_K,9,hexc_00452,453,180641999,3,False,963.8857041301653,26.7746028925046,2,2,0,4,0.4999999991264763
event_l2_bound_K,10,hexc_00485,486,179621809,3,False,963.3115006793302,26.75865279664806,2,2,0,4,0.49999999912125304
event_l2_bound_K,11,hexc_00410,411,179436077,3,False,963.2066212243664,26.755739478454625,2,2,0,4,0.49999999912029514
event_l2_bound_K,12,hexc_00558,559,179412683,3,False,963.1935544836173,26.755376513433816,2,2,0,4,0.49999999912017556
event_l2_bound_K,13,hexc_00369,370,179411909,3,False,963.193018899627,26.755361636100748,2,2,0,4,0.49999999912017107
event_l2_bound_K,14,hexc_00519,520,179378513,3,False,963.174214134301,26.754839281508357,2,2,0,4,0.4999999991199994
event_l2_bound_K,15,hexc_00349,350,178894987,3,False,962.9006070068407,26.747239083523343,2,2,0,4,0.49999999911749504
event_l2_bound_K,16,hexc_00634,635,109814437,3,False,914.0782949705457,25.391063749181825,2,2,0,4,0.49999999852444665
event_l2_bound_K,17,hexc_00457,458,109709861,3,False,913.9841514474247,25.38844865131735,2,2,0,4,0.49999999852296295
event_l2_bound_K,18,hexc_00536,537,109705961,3,False,913.9807656215404,25.388354600598337,2,2,0,4,0.4999999985229097
event_l2_bound_K,19,hexc_00486,487,109567891,3,False,913.8563481281295,25.384898559114713,2,2,0,4,0.4999999985209466
event_l2_bound_K,20,hexc_00326,327,109497203,3,False,913.7926447029922,25.38312901952757,2,2,0,4,0.49999999851994
total_mass_bound_K,1,hexc_00000,1,180530237,684790,False,27825910.174867935,4.242257262839463,35864,35861,3,41,0.15926267327466226
total_mass_bound_K,2,hexc_00040,41,604672261,151650,True,6085757.364312272,2.150447574178819,7420,7420,0,41,0.1452468690931007
total_mass_bound_K,3,hexc_00006,7,30774449,104130,False,4193544.391909676,5.249368097143086,5986,5986,0,41,0.10091716949212236
total_mass_bound_K,4,hexc_00002,3,30974597,64413,False,2558010.051748323,2.1234801731745523,3676,3675,1,41,0.11628240312003037
total_mass_bound_K,5,hexc_00023,24,180619079,61662,False,2433379.8161909664,14.887526869901857,3182,3182,0,41,0.10625611742141922
total_mass_bound_K,6,hexc_00063,64,604810421,53021,True,2089867.7203022586,2.142086434591942,2571,2571,0,41,0.11110716423183119
total_mass_bound_K,7,hexc_00009,10,178298621,43765,False,1612742.6090419376,3.6259487032169244,2211,2211,0,40,0.1100354775024901
total_mass_bound_K,8,hexc_00024,25,109813367,23159,False,891412.1392207872,8.632103006924334,1212,1212,0,41,0.08602448171814606
total_mass_bound_K,9,hexc_00104,105,604432601,22162,True,853054.7088840737,8.95372083559938,1062,1062,0,41,0.05650367396336649
total_mass_bound_K,10,hexc_00183,184,604356173,20686,True,798478.3873594374,10.34327835039503,1005,1005,0,40,0.055112601838899655
total_mass_bound_K,11,hexc_00020,21,30847123,15789,False,598069.630137307,6.28187190744635,891,891,0,40,0.04889656085484474
total_mass_bound_K,12,hexc_00048,49,33902159,13400,False,525727.040735192,4.868706166264128,756,756,0,41,0.052865033428749535
total_mass_bound_K,13,hexc_00074,75,113195507,12848,False,500763.4066545947,15.294287511442386,676,675,1,41,0.1126264036386013
total_mass_bound_K,14,hexc_00061,62,113166227,11734,False,424843.05853533413,6.659239168363856,602,602,0,40,0.08063545118891983
total_mass_bound_K,15,hexc_00008,9,12883477,11482,False,411089.6480800212,3.459859086542252,672,672,0,39,0.0801296065235554
total_mass_bound_K,16,hexc_00078,79,109546081,10586,False,397415.9533513444,14.296962892039497,554,554,0,40,0.16222102766203625
total_mass_bound_K,17,hexc_00089,90,179641471,10782,False,395150.04693082353,15.782038821551193,543,543,0,40,0.08891275932428822
total_mass_bound_K,18,hexc_00043,44,109588091,10737,False,380607.98276831233,15.650024564874375,546,546,0,40,0.07581503938024836
total_mass_bound_K,19,hexc_00027,28,109670797,9994,False,345683.9511845382,17.104383267421262,502,502,0,40,0.037927074987456136
total_mass_bound_K,20,hexc_00127,128,187449539,9358,False,336193.3297763889,11.35315314289714,472,471,1,39,0.08446426727140825
