rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_bridge,C_bridge_sq,B_abs_max_shape,B_L2_shape,dB_L2,ddB_L2,kappa_L2_shape,effective_support_frac,bridge_energy_fraction_shape,B_sq_over_h_shape,ratio_B_L2_to_ddB_L2,ratio_B_L2_to_h_ddB_L2,effective_support,shape_distance_to_mean
B_sq_over_h_shape,8,hexc_00198,199,39635782,39635564,218,39635819,finite_positive,False,False,False,True,7.2093575037210575,51.97483561645912,38.59059490648997,106.44488792040764,55.13398440180799,85.21341737403625,0.36254061289768497,0.21737952048718012,2.945504504656541e-05,51.97483561645937,,,,
B_sq_over_h_shape,9,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,7.128590769352836,50.81680635690245,50.44514412859007,152.55850455304466,66.785560224804,104.54044043644606,0.33066097676023215,0.26131603928213326,0.0013147173309265244,50.816806356902504,,,,
B_sq_over_h_shape,10,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,7.085660762263412,50.20658843787932,10.056372108580035,14.17132152452685,19.969291636973068,34.54609331319811,0.7096283921845318,0.3971623110366962,2.5942484235859025e-07,50.206588437879496,,,,
B_sq_over_h_shape,11,hexc_00273,274,109547591,109546815,776,109547591,finite_negative,False,False,False,True,6.908850056190115,47.73220909891816,65.83835952501795,192.45829226292332,85.53914381022345,127.64777939685595,0.3420915708587609,0.2309476403682308,3.328828369906194e-05,47.732209098918574,,,,
B_sq_over_h_shape,12,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,6.864752116121557,47.1248216157954,13.100680718981152,19.416451089897027,20.29248519428246,32.992440187992564,0.674720661274595,0.24406722983928716,4.067833780058686e-05,47.124821615795426,,,,
B_sq_over_h_shape,13,hexc_00303,304,604870961,604869251,1710,604870961,post_P0_negative_tail,True,False,False,False,6.763592223850025,45.74617977052452,109.04298268701676,279.68905485842146,151.6609813222609,222.59259212122194,0.3898721841017851,0.18274815335533195,1.3293950372010392e-05,45.74617977052461,,,,
B_sq_over_h_shape,14,hexc_00673,674,187509559,187509555,4,187509659,finite_positive,False,False,False,True,6.671592040126676,44.51014034988162,9.4707785115379,13.343184080253371,18.798120552059135,32.51755001745618,0.7097839956771443,0.39698819308243194,7.352200833734834e-07,44.51014034988175,,,,
B_sq_over_h_shape,15,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,6.656036436858118,44.30282104878291,9.448779086688774,13.312072873716268,18.754122346758002,32.44134227149468,0.7097902164691954,0.39698123449067746,7.154629182248775e-07,44.30282104878312,,,,
B_sq_over_h_shape,16,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,6.655925850726108,44.301348930364064,9.448622690862976,13.311851701452259,18.75380955969922,32.44080050400745,0.7097902607968639,0.3969811849063058,7.589229592880686e-07,44.30134893036435,,,,
B_sq_over_h_shape,17,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,6.655460745638621,44.29515773673658,9.4479649185605,13.310921491277291,18.752494034409573,32.438521928815334,0.7097904472467811,0.396980976345879,7.705762945638787e-07,44.29515773673692,,,,
