candidate_id,x,selected_block_id,control_type,right_endpoint_control_flag,containing_block_control_flag,partial_interval_used_flag,x_precedes_J_flag,scale_ratio,pstar_over_x,h_over_x,status
cand_01230,604325339,theta_local:1231:604325338:1,right_endpoint,True,True,False,True,4.067846887338217e-05,1.0,1.6547378298827216e-09,covered
cand_01231,604813789,theta_local:1232:604813788:1,right_endpoint,True,True,False,True,4.066203950970491e-05,1.0,1.6534014570888032e-09,covered
cand_01232,187505431,theta_local:1233:187505430:1,finite_certificate,True,True,False,True,7.302861669256814e-05,1.0,5.333178856030042e-09,covered
cand_01233,109507157,theta_local:1234:109507156:1,finite_certificate,True,True,False,True,9.556057361007376e-05,1.0,9.131823228686323e-09,covered
cand_01234,108832939,theta_local:1235:108832938:1,finite_certificate,True,True,False,True,9.585611457274358e-05,1.0,9.188394700982945e-09,covered
cand_01235,180641081,theta_local:1236:180641080:1,finite_certificate,True,True,False,True,7.440322120376582e-05,1.0,5.535839325496507e-09,covered
cand_01236,604691159,theta_local:1237:604691158:1,right_endpoint,True,True,False,True,4.0666162385531305e-05,1.0,1.6537367631664018e-09,covered
cand_01237,109710067,theta_local:1238:109710066:1,finite_certificate,True,True,False,True,9.54721625352356e-05,1.0,9.114933819154445e-09,covered
cand_01238,108596263,theta_local:1239:108596262:1,finite_certificate,True,True,False,True,9.596051270580957e-05,1.0,9.208419998761835e-09,covered
cand_01239,604674857,theta_local:1240:604674856:1,right_endpoint,True,True,False,True,4.066671056055744e-05,1.0,1.6537813478161537e-09,covered
cand_01240,40844981,theta_local:1241:40844980:1,finite_certificate,True,True,False,True,0.00015646984444666557,1.0,2.448281222116372e-08,covered
cand_01241,33915443,theta_local:1242:33915442:1,finite_certificate,True,True,False,True,0.00017171223970825533,1.0,2.948509326562534e-08,covered
cand_01242,180643423,theta_local:1243:180643422:1,finite_certificate,True,True,False,True,7.440273889196627e-05,1.0,5.53576755462611e-09,covered
cand_01243,108531719,theta_local:1244:108531718:1,finite_certificate,True,True,False,True,9.598904240576967e-05,1.0,9.213896261976649e-09,covered
cand_01244,108835757,theta_local:1245:108835756:1,finite_certificate,True,True,False,True,9.585487360062718e-05,1.0,9.188156792992215e-09,covered
cand_01245,109496897,theta_local:1246:109496896:1,finite_certificate,True,True,False,True,9.556505057949382e-05,1.0,9.132678892261213e-09,covered
cand_01246,108555593,theta_local:1247:108555592:1,finite_certificate,True,True,False,True,9.59784866695528e-05,1.0,9.211869903377526e-09,covered
cand_01247,109683107,theta_local:1248:109683106:1,finite_certificate,True,True,False,True,9.548389529620694e-05,1.0,9.11717426093701e-09,covered
