metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_total,K_unreduced,K_comp,K_prime,cancellation_fraction,cos_comp_prime,component_proof_source
cancellation_fraction,7,hexc_00098,99,4991101,357,False,-0.012136775679853828,12.590108555553655,12.439137533656814,0.0014062759275870998,12.437731257729226,-0.012136775679853828,-0.5707655382550026,smallness_driven
cancellation_fraction,8,hexc_00195,196,39648137,846,False,-0.011356404975814138,18.080030813859832,17.87701222329452,0.0013926074631189374,17.8756196158314,-0.011356404975814138,-0.6433701410742763,smallness_driven
cancellation_fraction,9,hexc_00194,195,33865589,379,False,-0.009938829186367126,17.072217384800595,16.90420933568265,0.0014620290625203685,16.90274730662013,-0.009938829186367126,-0.5343716887154806,smallness_driven
cancellation_fraction,10,hexc_00163,164,39637237,482,False,-0.00969242048215313,25.5176462816844,25.2726927171535,0.0015216308526989845,25.2711710863008,-0.00969242048215313,-0.624577638443062,smallness_driven
cancellation_fraction,11,hexc_00071,72,12843647,457,False,-0.009339419204924537,36.81771421299384,36.477039846512525,0.0015400923094052849,36.47549975420312,-0.009339419204924537,-0.7186798355689893,smallness_driven
cancellation_fraction,12,hexc_00189,190,31026421,446,False,-0.009090313107936732,28.416178627244346,28.160193649787644,0.0013152252633446325,28.1588784245243,-0.009090313107936732,-0.6650843615121741,smallness_driven
cancellation_fraction,13,hexc_00028,29,3456977,1261,False,-0.008280399945419514,21.41571235172158,21.239837998319576,0.0006905208179146665,21.239147477501664,-0.008280399945419514,-0.7261320226557296,smallness_driven
cancellation_fraction,14,hexc_00275,276,108562291,313,False,-0.007547450353223573,56.509735976416216,56.086426457240464,0.0024622685923902923,56.083964188648075,-0.007547450353223573,-0.5695619585114439,smallness_driven
cancellation_fraction,15,hexc_00076,77,39674417,1178,False,-0.006855639725384499,9.019523759020275,8.95811018298543,0.0006651378893889666,8.95744504509604,-0.006855639725384499,-0.3978198695750257,smallness_driven
cancellation_fraction,16,hexc_00017,18,3241093,1964,False,-0.006811075092484797,11.070062029482541,10.995173079979931,0.0004926170909386241,10.994680462888994,-0.006811075092484797,-0.5087936697300748,smallness_driven
cancellation_fraction,17,hexc_00268,269,178899467,757,False,-0.006269760711112848,12.56052532324978,12.482264511629051,0.0005469737929964326,12.481717537836055,-0.006269760711112848,-0.4735806153016889,smallness_driven
cancellation_fraction,18,hexc_00120,121,108842081,1642,False,-0.006192877891487036,16.376629893641507,16.27583563099683,0.0004811773628501159,16.27535445363398,-0.006192877891487036,-0.5694924814918558,smallness_driven
cancellation_fraction,19,hexc_00431,432,604813747,1557,True,-0.005886753500202069,34.565741303135226,34.3634521310239,0.0005729128956030473,34.36287921812829,-0.005886753500202069,-0.7208643855075523,smallness_driven
cancellation_fraction,20,hexc_00101,102,33477793,1246,False,-0.005838110440737676,13.810438490276855,13.73027960158062,0.0005074778915110351,13.729772123689107,-0.005838110440737676,-0.480155009166299,smallness_driven
cos_comp_prime,1,hexc_00303,304,604870961,1710,True,-0.7902608628450173,45.74617977051351,45.48865936161616,0.0005836127900246105,45.488075748826134,-0.0056612002312526055,-0.7902608628450173,smallness_driven
