candidate_id,block_id,x,y,h,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,finite_certificate_flag,E_theta,Q_R2Q,Q_delta_D,DeltaD,Q_exc,epsilon,abs_epsilon,Q_reconstructed,formula_residual,abs_formula_residual,near_forbidden_flag,forbidden_flag,threshold_relevant_flag,positive_harmless_flag,negative_transfer_flag,channel_compatible_flag,O2_repaid_flag,B3_no_accumulation_flag,primitive_available_flag,row_regime,failure_type,component_bound_status,status
hexc_00015,16,58309,58308,1,58309,positive,negative,False,True,True,9.973511734352114,0.0939517191622745,0.0884432993920433,-10.650161669352116,0.0,0.0055084197702311,0.0055084197702311,0.0939517191622744,9.71445146547012e-17,9.71445146547012e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00016,17,59333,59332,1,59333,positive,negative,False,True,True,9.990920922612805,0.0929815072257821,0.0883074552338765,-10.667570857612787,2.3527838405727803e-16,0.0046740519919053,0.0046740519919053,0.09298150722578204,6.938893903907228e-17,6.938893903907228e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00017,18,3241093,3239129,1964,3241093,negative,negative,False,True,True,-165.06704136906455,0.159654089699117,0.1401120285534746,-1395.5062112850246,0.0081749848918229,0.0113670762538194,0.0113670762538194,0.15965408969911687,1.3877787807814457e-16,1.3877787807814457e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00018,19,1515197,1513853,1344,1515197,negative,negative,False,True,True,-63.24655312102391,0.1510851987794436,0.1353288100910507,-1004.7642034281848,0.0103425912084517,0.0054137974799411,0.0054137974799411,0.1510851987794435,8.326672684688674e-17,8.326672684688674e-17,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00019,20,58511,58510,1,58511,positive,negative,False,True,True,9.97697004973177,0.0923670994574258,0.0884162808823417,-10.653619984731762,0.0,0.003950818575084,0.003950818575084,0.0923670994574257,9.71445146547012e-17,9.71445146547012e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00020,21,30847123,30831334,15789,30847123,negative,negative,False,True,True,-424.33160930738086,0.338124053326903,0.3244066291128366,-12121.907568691418,0.0060303868534807,0.0076870373605856,0.0076870373605856,0.3381240533269029,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00021,22,60209,60208,1,60209,positive,negative,False,True,True,10.005577121783782,0.0940510554686493,0.0881934154907322,-10.682227056783772,0.0,0.005857639977917,0.005857639977917,0.0940510554686492,9.71445146547012e-17,9.71445146547012e-17,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00022,23,354553,354550,3,354619,positive,negative,False,True,True,22.55722059933116,0.0920232096308952,0.088072855820278,-24.91052046929002,0.0146788192753852,-0.010728465464768,0.010728465464768,0.0920232096308952,0.0,0.0,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00023,24,180619079,180557417,61662,180619079,negative,negative,False,True,True,-1166.673386312199,0.5459231094474968,0.5329138719787416,-47831.82037550756,0.0051149881925594,0.0078942492761956,0.0078942492761956,0.5459231094474967,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00024,25,109813367,109790208,23159,109813367,negative,negative,False,True,True,-719.8064293124298,0.3557665519303423,0.3389837450779626,-17682.881280788435,0.0045682420338709,0.0122145648185086,0.0122145648185086,0.35576655193034207,2.220446049250313e-16,2.220446049250313e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00025,26,230563,230560,3,230647,positive,negative,False,True,True,21.69655017143579,0.0944180902326222,0.0910569767225814,-24.04985004133846,0.0151761792087925,-0.0118150656987517,0.0118150656987517,0.0944180902326222,0.0,0.0,False,False,False,True,False,True,False,True,True,positive_harmless,,pass,pass
hexc_00026,27,1192781,1192323,458,1192781,negative,negative,False,True,True,-38.252494546276125,0.0967472985369818,0.0776974809855303,-325.52679180880466,0.0120403626533005,0.0070094548981509,0.0070094548981509,0.09674729853698169,1.1102230246251565e-16,1.1102230246251565e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00027,28,109670797,109660803,9994,109670797,negative,negative,False,True,True,-700.5003791113922,0.2345732370876761,0.2113316628996534,-7240.816620533022,0.0098010101179576,0.0134405640700649,0.0134405640700649,0.2345732370876759,1.942890293094024e-16,1.942890293094024e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
hexc_00028,29,3456977,3455716,1261,3456977,negative,negative,False,True,True,-56.54292508843059,0.1341559286414388,0.1174356488415478,-945.3034224797802,0.0077614986724626,0.0089587811274282,0.0089587811274282,0.1341559286414386,1.942890293094024e-16,1.942890293094024e-16,False,False,False,False,True,True,True,True,True,subthreshold_negative,,pass,pass
