crossing_id,block_id,p_star,y,h,local_theta_sign,theta_end_error,theta_end_norm,E_theta_local,theta_local_norm,Q_theta,Q_R2Q,B2_active_flag,covered_flag,finite_certificate_flag,negative_transfer_flag,positive_harmless_flag,Cplus_value,O2_B3_repaid_flag,tail_flag,near_forbidden_R2Q,forbidden_R2Q,crossing_status
21,22,60209,60208,1,positive,-172.34871533069963,-0.0057989811969196,10.005577121783782,0.0826069335200711,0.0826069335200711,0.0940510554686493,True,True,True,False,True,0.0940510554686493,False,False,False,False,positive_harmless
22,23,354619,354550,3,positive,-337.10239392716903,-0.0034669997536609,22.55722059933116,0.0797526025198991,0.0797526025198991,0.0920232096308952,True,True,True,False,True,0.0920232096308952,False,False,False,False,positive_harmless
23,24,180619079,180557417,61662,negative,-7368.083342403173,-0.0015167766599432,-1166.673386312199,-0.0129983853165777,0.0129983853165777,0.5459231094474968,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
24,25,109813367,109790208,23159,negative,-5788.670831233263,-0.0016115248032551,-719.8064293124298,-0.0137988077432052,0.0137988077432052,0.3557665519303423,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
25,26,230647,230560,3,positive,-296.7523246334167,-0.0040530916644466,21.69655017143579,0.0821469680902342,0.0821469680902342,0.0944180902326222,True,True,True,False,True,0.0944180902326222,False,False,False,False,positive_harmless
26,27,1192781,1192323,458,negative,-666.8432558462955,-0.0031188633484794,-38.252494546276125,-0.0091301930976054,0.0091301930976054,0.0967472985369818,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
27,28,109670797,109660803,9994,negative,-5773.723763719201,-0.0016086338239377,-700.5003791113922,-0.0204449190937458,0.0204449190937458,0.2345732370876761,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
28,29,3456977,3455716,1261,negative,-1087.5025287060998,-0.0025802886680358,-56.54292508843059,-0.0070243637516301,0.0070243637516301,0.1341559286414388,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
29,30,4994789,4991760,3029,negative,-1292.555824351497,-0.0024310954553966,-113.94054074237602,-0.0087024175108216,0.0087024175108216,0.1879865387221068,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
30,31,7108243,7105465,2778,negative,-1526.3659253353253,-0.002300072788315,-80.20709910296955,-0.0061137931253432,0.0061137931253432,0.1766899326140388,True,True,True,True,False,,True,False,False,False,negative_transferred_repaid
