metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime_sampled,optional_K_prime_full,optional_full_to_sampled_energy_ratio,sample_count,sample_offset_gaps_max,lambda_event_count,event_to_sample_alignment_score
samples_on_event_count,5,hexc_00298,299,39651863,619,False,6,33.091485037668264,387.2199600951516,11.701498426389039,36,104,34,0.5760968229954615
samples_on_event_count,6,hexc_00074,75,113195507,12848,False,6,15.294287511442386,10240.473736938296,669.5620001439694,41,3043,676,0.04309791653223222
samples_on_event_count,7,hexc_00424,425,108843373,838,False,6,8.471101675861581,336.0207556693912,39.666712610342394,36,147,43,0.5175054704595186
samples_on_event_count,8,hexc_00115,116,12830269,898,False,6,9.659482068374114,758.4689592882229,78.52066538551881,37,159,52,0.4633513881519007
samples_on_event_count,9,hexc_00174,175,12776941,332,False,6,37.77583362868484,461.5043807289809,12.216921147665698,36,51,21,0.752442996742671
samples_on_event_count,10,hexc_00078,79,109546081,10586,False,5,14.296962892039497,8258.530388717578,577.6422902598356,40,2463,554,0.05156663778008741
samples_on_event_count,11,hexc_00087,88,3290641,323,False,5,36.968091999430726,282.8539984073448,7.651300976304119,35,49,19,0.7859358841778696
samples_on_event_count,12,hexc_00046,47,12807413,1515,False,5,10.570924459565392,1615.6821044571577,152.84208213172533,37,286,80,0.36716741389201707
samples_on_event_count,13,hexc_00278,279,40863643,843,False,5,10.68115061155401,595.005686048604,55.706141378155905,36,148,48,0.4772994897291639
samples_on_event_count,14,hexc_00153,154,12801751,1045,False,5,11.475706731579692,573.9147598193533,50.011278019157864,38,188,61,0.4199572683390045
samples_on_event_count,15,hexc_00273,274,109547591,776,False,5,47.57965339891257,1349.1253077624658,28.355089022008304,37,134,36,0.5456147565059037
samples_on_event_count,16,hexc_00124,125,33827861,1541,False,5,12.62746148090363,1225.0508616545505,97.014816755306,37,292,83,0.32503165892781766
samples_on_event_count,17,hexc_00120,121,108842081,1642,False,5,16.27535445363398,2706.6706444362017,166.3048661795414,36,313,77,0.3261627906976744
samples_on_event_count,18,hexc_00159,160,33870121,1078,False,5,20.76583882975635,1154.3470502632922,55.58875130096713,38,195,57,0.42450592885375493
samples_on_event_count,19,hexc_00068,69,108581987,3824,False,5,19.109224551334165,2788.502022268396,145.9243945131049,39,803,185,0.1541973193723344
samples_on_event_count,20,hexc_00026,27,1192781,458,False,5,50.66738569136996,861.3782100994046,17.000644464790707,35,74,30,0.6674507497794766
