gap_id,gap_start,gap_end,gap_length,left_candidate_id,right_candidate_id,global_error_process,envelope_type,envelope_constant,envelope_constant_status,R_upper_max_bound,R_upper_max_location,R_upper_max_label,R_lower_min_bound,R_lower_min_location,R_lower_min_label,theta_error_at_Rmax,theta_error_at_Rmin,upper_margin_to_1,lower_margin_to_minus1,prime_jump_count,prime_power_jump_count,jump_inventory_available,sampled_only,continuous_bound_available,upper_exit_possible,lower_exit_possible,margin_safe,margin_class,needed_data,eval_point_count
gap_057,604676357,604676710,353,1127,733,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006797846644561424,604676543.0,prime_after_jump,-0.0006863294306272031,604676710.0,gap_end,-13145.126160860062,-13271.685752153397,1.0006797846644562,0.9993136705693728,16,,True,False,True,False,False,True,margin_safe,,34
gap_058,604676711,604678228,1517,733,1446,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006833426994427577,604678189.0,prime_after_jump,-0.0006943921976181179,604677149.0,prime_left_limit,-13213.950107097626,-13427.602884888649,1.0006833426994428,0.9993056078023819,76,,True,False,True,False,False,True,margin_safe,,154
gap_059,604678229,604678930,701,1446,379,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006724870374781842,604678889.0,prime_after_jump,-0.0006854112216433038,604678229.0,prime_left_limit,-13004.040767788887,-13253.950107097626,1.0006724870374781,0.9993145887783567,45,,True,False,True,False,False,True,margin_safe,,92
gap_060,604681513,604682818,1305,379,335,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006708949392069283,604682599.0,prime_after_jump,-0.0006858395623319408,604681513.0,prime_left_limit,-12973.30165886879,-13262.276164531708,1.000670894939207,0.9993141604376681,73,,True,False,True,False,False,True,margin_safe,,148
gap_061,604685377,604685566,189,335,872,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.000680984995832161,604685443.0,prime_after_jump,-0.0006852543448871038,604685566.0,gap_end,-13168.453278779984,-13251.012840628624,1.0006809849958322,0.9993147456551129,9,,True,False,True,False,False,True,margin_safe,,20
gap_062,604685567,604685980,413,872,1444,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.00068330838812835,604685953.0,prime_after_jump,-0.0006883404065514909,604685747.0,prime_left_limit,-13213.388230800629,-13310.691525220871,1.0006833083881284,0.9993116595934485,21,,True,False,True,False,False,True,margin_safe,,44
gap_063,604685981,604686096,115,1444,1420,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006832513789275629,604686053.0,prime_after_jump,-0.0006854750229706804,604686096.0,gap_end,-13212.28713130951,-13255.28713130951,1.0006832513789277,0.9993145249770293,5,,True,False,True,False,False,True,margin_safe,,12
gap_064,604686097,604687002,905,1420,532,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006766582005754662,604686613.0,prime_after_jump,-0.0006855267356205925,604686097.0,prime_left_limit,-13084.799636244774,-13256.28713130951,1.0006766582005755,0.9993144732643794,45,,True,False,True,False,False,True,margin_safe,,92
gap_065,604687003,604687078,75,532,1377,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006831177900891533,604687021.0,prime_after_jump,-0.0006860654084032402,604687078.0,gap_end,-13209.716538906097,-13266.716538906097,1.0006831177900892,0.9993139345915968,3,,True,False,True,False,False,True,margin_safe,,8
gap_066,604687079,604691158,4079,1377,1237,theta(x)-x,C_theta*sqrt(x)*log(x)^2,1.9233607946440099,minimum_required_global_constant,-0.0006827682447490433,604691119.0,prime_after_jump,-0.0006956899161660641,604689913.0,prime_left_limit,-13203.010832428932,-13452.867203950882,1.000682768244749,0.9993043100838339,203,,True,False,True,False,False,True,margin_safe,,408
