candidate_id,block_id,x,y,h,right_endpoint,p_star,E_theta_sign,DeltaD_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,D_start,D_end,DeltaD,bridge_excursion_raw,bridge_excursion_argmax,threshold_relevant_flag,forbidden_flag,row_regime,scale_denominator,DeltaD_recomputed,DeltaD_recompute_error,Q_delta_D_recomputed,Q_delta_D_recompute_error,Q_exc_recomputed,Q_exc_recompute_error,line_slope_D,Q_R2Q_recomputed,formula_reconstruction_error,endpoint_path_valid_flag,endpoint_delta_valid_flag,normalization_valid_flag,bridge_excursion_valid_flag,formula_reconstruction_valid_flag,failure_type,status
hexc_00030,31,7108243,7105465,2778,7108243,7108243,negative,negative,False,True,-80.20709910296955,0.1766899326140388,0.1621275115134674,0.0068229245505902,0.007739496549981,-1580.4968693296976,-3707.454245328314,-2126.957375998616,89.51022293063807,7107680,False,False,subthreshold_negative,13119.040415432122,-2126.957375998616,0.0,0.16212751151346744,-2.7755575615628914e-17,0.00682292455059029,-8.933825901280557e-17,-0.7656434038871908,0.1766899326140386,2.220446049250313e-16,True,True,True,True,True,,pass
hexc_00031,32,3293113,3292080,1033,3293113,3293113,negative,negative,False,True,-117.56184933337444,0.1154116378424172,0.0971366049932867,0.0061349229944132,0.0121401098547171,-1036.8409135045636,-1739.9792047404453,-703.1382912358818,44.40858594402789,3292775,False,False,subthreshold_negative,7238.654174546005,-703.1382912358818,0.0,0.09713660499328679,-8.326672684688674e-17,0.006134922994413269,-6.852157730108388e-17,-0.6806759837714247,0.11541163784241701,1.942890293094024e-16,True,True,True,True,True,,pass
hexc_00032,33,1197619,1197615,4,1197619,1197697,positive,negative,False,True,23.99169028406876,0.0726584885625681,0.069431568892584,0.0177247165152088,-0.0144977968452248,-723.0462496968461,-750.2475287109113,-27.20127901406522,6.944030893516242,1197616,False,False,positive_harmless,391.7710552695081,-27.20127901406522,0.0,0.06943156889258409,-8.326672684688674e-17,0.017724716515208832,-3.122502256758253e-17,-6.800319753516305,0.072658488562568,9.71445146547012e-17,True,True,True,True,True,,pass
hexc_00033,34,127,126,1,127,127,positive,negative,False,True,3.844187086458591,0.2157084836048593,0.1926535586334653,0.0,0.0230549249713939,-7.288219387840677,-11.809056409299268,-4.520837021458592,0.0,126,False,False,positive_harmless,23.466148528612173,-4.520837021458592,0.0,0.19265355863346534,-2.7755575615628914e-17,0.0,0.0,-4.520837021458592,0.21570848360485922,8.326672684688674e-17,True,True,True,True,True,,pass
hexc_00034,35,354953,354952,1,354953,354953,positive,negative,False,True,11.779740665326448,0.080127585396028,0.0762690147674882,0.0,0.0038585706285397,-338.8765720674441,-351.3329626677706,-12.456390600326472,0.0,354952,False,False,positive_harmless,163.3217714729985,-12.456390600326472,0.0,0.07626901476748829,-9.71445146547012e-17,0.0,0.0,-12.456390600326472,0.08012758539602789,1.1102230246251565e-16,True,True,True,True,True,,pass
hexc_00035,36,39707851,39704004,3847,39707851,39707851,negative,negative,False,True,-452.5803398765943,0.1623741874086595,0.1371454844597804,0.0110407093348006,0.0141879936140783,-3590.415609090645,-6194.606063479505,-2604.19045438886,209.64678474559517,39706404,False,False,subthreshold_negative,18988.52495688672,-2604.19045438886,0.0,0.13714548445978042,-2.7755575615628914e-17,0.011040709334800695,-9.540979117872439e-17,-0.6769405912110371,0.16237418740865928,2.220446049250313e-16,True,True,True,True,True,,pass
hexc_00036,37,1657,1656,1,1657,1657,positive,negative,False,True,6.412764017426562,0.1389495863976313,0.129017905192041,6.465466393439502e-17,0.0099316812055901,-24.515635713926613,-31.60504966635317,-7.089413952426561,3.552713678800501e-15,1657,False,False,positive_harmless,54.94907037805399,-7.089413952426558,-3.552713678800501e-15,0.12901790519204107,-5.551115123125783e-17,6.465466393439502e-17,0.0,-7.089413952426561,0.13894958639763116,1.3877787807814457e-16,True,True,True,True,True,,pass
hexc_00037,38,155921,155920,1,155921,156007,positive,negative,False,True,10.957104747706284,0.0868104441327406,0.081363154764434,0.0,0.0054472893683065,-219.20299235558093,-230.83674703828723,-11.633754682706297,0.0,155920,False,False,positive_harmless,142.98554076951442,-11.633754682706297,0.0,0.08136315476443405,-5.551115123125783e-17,0.0,0.0,-11.633754682706297,0.0868104441327405,9.71445146547012e-17,True,True,True,True,True,,pass
hexc_00038,39,39690667,39682692,7975,39690667,39690667,negative,negative,False,True,-364.0109776889212,0.2349256240499423,0.2184817075940539,0.0069005695359736,0.0095433469199146,-3641.029352975941,-9613.98205726598,-5972.95270429004,188.65092151155025,39685548,False,False,subthreshold_negative,27338.45670681034,-5972.952704290038,-1.8189894035458565e-12,0.21848170759405397,-8.326672684688674e-17,0.006900569535973662,-6.158268339717665e-17,-0.7489595867448327,0.23492562404994208,2.220446049250313e-16,True,True,True,True,True,,pass
hexc_00039,40,30417481,30409154,8327,30417481,30417481,negative,negative,False,True,-228.7179970545885,0.24963148266117,0.2357893781039462,0.0085348501864403,0.0053072543707834,-3185.022130148648,-9573.033681058874,-6388.011550910226,231.2263682727644,30414125,False,False,subthreshold_negative,27092.02425604648,-6388.011550910226,0.0,0.23578937810394623,-2.7755575615628914e-17,0.008534850186440335,-3.469446951953614e-17,-0.7671444158652847,0.24963148266116988,1.1102230246251565e-16,True,True,True,True,True,,pass
