block_id,p_star,y,h,R_pp,R_bdy,R_leak_plus,R_o2p4_total,Q_pp,Q_bdy,Q_leak_plus,Q_o2p4_total,O2_subtotal_before_o2p4,O2_total_with_o2p4,O2_margin_remaining,dominant_component,is_tail,h_bin,p_scale_bin,mu_bin_if_available,depth_bin_if_available,shell_pattern,boundary_local_proxy,Q_leak_plus_diagnostic
57,179620853,179616870,3983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,100M<=p<500M,0.25-0.50,0.55-0.60,11111,False,0.004017641309067951
58,1188511,1188358,3,0.0,0.7782254598846414,0.0,0.7782254598846414,0.0,0.002296256544829283,0.0,0.002296256544829283,0.0301511056,0.03244736214482928,0.9675526378551708,bdy,False,h<=4,p<100M,0.50-1.00,0.55-0.60,11100,True,0.056382057379648666
59,293,292,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.25-0.50,0.50-0.55,10000,True,0.2917721387436051
60,3291137,3290975,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,5<=h<=16,p<100M,0.50-1.00,0.55-0.60,11111,True,0.003553138827998451
61,1190143,1190068,3,0.0,0.7718820985070316,0.0,0.7718820985070316,0.0,0.002277092848109802,0.0,0.002277092848109802,0.0301511056,0.0324281984481098,0.9675718015518902,bdy,False,h<=4,p<100M,0.25-0.50,0.55-0.60,11100,True,0.056370997159848286
62,113166227,113154493,11734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.55-0.60,11111,False,0.002228930045124441
63,30816007,30813688,2319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,11111,False,0.004742173261098666
64,604810421,604757400,53021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,True,8193<=h<=65536,p>=500M,0.018-0.05,0.50-0.55,11111,False,0.006571610192064748
65,3439001,3438886,3,0.0,3.639281330507551,0.0,3.639281330507551,0.0,0.009275601661059403,0.0,0.009275601661059403,0.0301511056,0.0394267072610594,0.9605732927389405,bdy,False,h<=4,p<100M,>=1.00,0.50-0.55,11100,True,0.048702629185803585
66,1196077,1196076,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.25-0.50,0.50-0.55,10000,True,0.04806716828061966
67,39699197,39695992,3205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,11111,False,0.009277239424065794
68,1192069,1192068,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.25-0.50,0.50-0.55,10000,True,0.04809023431163282
69,108581987,108578163,3824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,100M<=p<500M,0.10-0.25,0.50-0.55,11111,False,0.005909887176072356
70,12847921,12847029,892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,11111,False,0.00707070136045281
71,1191481,1191480,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.25-0.50,0.50-0.55,10000,True,0.04809362617171872
72,12843647,12843190,457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,257<=h<=1024,p<100M,0.50-1.00,0.50-0.55,11111,False,0.003057845757996827
73,40882169,40877269,4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.10-0.25,0.50-0.55,11111,False,0.0017546440297848554
74,1186291,1186290,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10000,True,0.04812365296645232
75,113195507,113182659,12848,9.272281773513562,0.0,0.0,9.272281773513562,0.0002378661538515,0.0,0.0,0.0002378661538515,0.0301511056,0.0303889717538515,0.9696110282461485,pp,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.50-0.55,11111,False,0.008184822307786877
76,2879,2878,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,>=1.00,0.50-0.55,10000,True,0.1483794310950001
77,39674417,39673239,1178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,p<100M,0.25-0.50,0.50-0.55,11111,False,0.0019735825773412865
78,3441797,3441229,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,257<=h<=1024,p<100M,0.10-0.25,0.50-0.55,11111,False,0.018525214755878205
79,109546081,109535495,10586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,8193<=h<=65536,100M<=p<500M,0.05-0.10,0.50-0.55,11111,False,0.0009826417113991035
80,1198607,1198510,3,0.0,0.7502907944789996,0.0,0.7502907944789996,0.0,0.0022111566240151973,0.0,0.0022111566240151973,0.0301511056,0.0323622622240152,0.9676377377759848,bdy,False,h<=4,p<100M,0.50-1.00,0.50-0.55,11100,True,0.05631392979989694
81,1512197,1512196,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10000,True,0.046495786901686306
82,12782599,12782006,494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,257<=h<=1024,p<100M,0.50-1.00,0.50-0.55,11111,False,0.008341449393632778
83,42923,42922,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10000,True,0.08273114120427948
84,617579,617578,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10000,True,0.05295104044666742
85,10357,10356,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,0.50-1.00,0.50-0.55,10000,True,0.11013206761160806
86,15859,15858,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,h<=4,p<100M,>=1.00,0.50-0.55,10000,True,0.10064214673560111
87,109467389,109460158,7231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,1025<=h<=8192,100M<=p<500M,0.05-0.10,0.50-0.55,11111,False,0.012821664548193869
88,3290641,3290318,323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301511056,0.0301511056,0.9698488944,none,False,257<=h<=1024,p<100M,0.25-0.50,0.50-0.55,11111,False,0.009640739609113495
