group_field,group_value,rows,E_end_over_h_max,C_end_max,endpoint_residual_fraction_max,affine_capture_fraction_min,E_best_over_h_max,E_gap_over_h_max,ratio_E_end_to_h4_ddR_sq_max,template_count,worst_template_C_end,failures
template_cluster_id,35,3.0,47.12482161579511,6.864752116121537,4.0678337800586574e-05,0.9999593216621994,26.39314660418465,22.43020935100241,0.0013717421124828536,0.0,6.864752116121537,0.0
template_cluster_id,36,1.0,30.408008655143053,5.514345714148058,1.2155728687056514e-05,0.9999878442713128,18.13312319031589,12.274885464830556,0.000659143951717501,0.0,5.514345714148058,0.0
template_cluster_id,39,8.0,73.62931311610959,8.580752479596972,9.861270095805125e-06,0.9999901387299042,43.78193585251833,29.84737726359048,0.000658588682516997,0.0,8.580752479596972,0.0
template_cluster_id,40,2.0,37.612913500416326,6.132936776163303,3.32347286093648e-06,0.9999966765271392,22.44349377819909,15.169419722227538,0.0006583978211504828,0.0,6.132936776163303,0.0
template_cluster_id,42,2.0,42.01752080974671,6.482092317280486,1.1772522978111863e-06,0.9999988227477022,25.079161840784288,16.938358968968284,0.0006579240348459583,0.0,6.482092317280486,0.0
template_cluster_id,43,7.0,44.51014034988176,6.671592040126686,7.705762945638789e-07,0.9999992294237054,26.57088212620257,17.939258223697298,0.0006577415692019332,0.0,6.671592040126686,0.0
template_cluster_id,46,1.0,50.20658843787949,7.085660762263424,2.594248423585902e-07,0.9999997405751576,29.98033535342825,20.226253084497003,0.0006573290930118911,0.0,7.085660762263424,0.0
template_cluster_id,5,3.0,8.052639658465482,2.837717332375704,0.0001045974953277,0.9998954025046722,6.630377730410991,1.4222619280546012,6.2705557406184526e-12,0.0,2.837717332375704,0.0
template_cluster_id,6,4.0,4.676586730141667,2.162541729109907,6.755530649395696e-05,0.999932444693506,4.665393809054256,0.3109616204631139,6.042119759532722e-13,0.0,2.162541729109907,0.0
template_cluster_id,7,9.0,8.504289285718388,2.916211461077264,6.635068265301394e-05,0.999933649317347,7.813455384974795,4.69715256452425,2.4971857432156948e-11,0.0,2.916211461077264,0.0
template_cluster_id,8,6.0,10.349590223661783,3.217077901397755,6.193226819896418e-05,0.999938067731801,8.13317895141937,3.733797464375484,1.7815086869447661e-12,0.0,3.217077901397755,0.0
