rank_metric,rank,candidate_id,block_id,x,y,h,p_star,row_regime,post_P0_by_pstar,threshold_relevant_flag,forbidden_flag,finite_zone_flag,C_bridge,C_bridge_sq,B_abs_max,B_L2_exported,B_sq_over_h,kappa_L2,Q_energy_L2,Q_exc,bridge_energy_fraction
C_bridge,15,hexc_00322,323,179438221,179438217,4,179438351,finite_positive,False,False,False,True,6.656036436858118,44.30282104878291,9.448779086688774,13.31207287371627,44.30282104878312,0.7097902164691948,0.0184274100815586,0.0130795953907561,7.154629182248774e-07
C_bridge,16,hexc_00444,445,179382103,179382099,4,179382319,finite_positive,False,False,False,True,6.655925850726108,44.301348930364064,9.448622690862976,13.311851701452259,44.30134893036435,0.7097902607968611,0.0184277095556904,0.0130798087714223,7.589229592880685e-07
C_bridge,17,hexc_00525,526,179146273,179146269,4,179146433,finite_positive,False,False,False,True,6.655460745638621,44.295157736736584,9.4479649185605,13.310921491277293,44.29515773673692,0.7097904472467818,0.0184289737116236,0.0130807094930725,7.705762945638789e-07
C_bridge,18,hexc_00448,449,178913599,178913595,4,178913689,finite_positive,False,False,False,True,6.655001264408736,44.28904182928188,9.447315099767366,13.310002528817508,44.28904182928211,0.7097906314677971,0.0184302229129119,0.013081599559448,7.448955074200035e-07
C_bridge,19,hexc_00423,424,178906843,178906839,4,178907011,finite_positive,False,False,False,True,6.654987913833227,44.28886413326633,9.447296218789234,13.309975827666483,44.288864133266515,0.7097906368208294,0.0184302583442049,0.0130816248069056,7.61232388325599e-07
C_bridge,20,hexc_00459,460,178299031,178299027,4,178299217,finite_positive,False,False,False,True,6.653784744914708,44.27285143165968,9.445594643774712,13.307569489829442,44.27285143165986,0.7097911193320223,0.0184335280556581,0.0130839545118638,7.690564429437336e-07
C_bridge,21,hexc_00095,96,3438637,3438262,375,3438637,finite_negative,False,False,False,True,6.55570371628648,42.977251215732366,40.1850159934861,126.9506565792383,42.97725121573253,0.3165404344986885,0.0289409320608848,0.0091609752093495,0.0003997805963526511
C_bridge,22,hexc_00173,174,30825511,30824836,675,30825511,finite_negative,False,False,False,True,6.488095069490741,42.09537763075006,85.60944577509645,168.56565457042637,42.095377630750086,0.5078700402716285,0.0218196897816464,0.0110815667281192,8.866595523415063e-05
C_bridge,23,hexc_00270,271,187425023,187423758,1265,187425023,finite_negative,False,False,False,True,6.487786304142406,42.09137112821778,104.27347431840008,230.75004762122163,42.09137112821822,0.4518892862356661,0.017879575931775,0.0080795888060062,2.777363710741559e-05
C_bridge,24,hexc_00619,620,109709029,109709025,4,109709357,finite_positive,False,False,False,True,6.482092317280465,42.01752080974642,9.20277943201654,12.964184634560974,42.017520809746685,0.709861799367085,0.0189123463606488,0.0134251522178237,1.1772522978111859e-06
C_bridge,25,hexc_00428,429,108831199,108831195,4,108831299,finite_positive,False,False,False,True,6.47925206868407,41.9807073695468,9.198762621303104,12.958504137368195,41.980707369547154,0.7098629999103702,0.0189204808195844,0.0134309492743368,1.153044944529206e-06
C_bridge_sq,1,hexc_00304,305,30386689,30386676,13,30386821,finite_positive,False,False,False,True,8.580752479596955,73.62931311610929,18.50388997128084,30.93834304725165,73.62931311610959,0.598089236486277,0.0289054037503281,0.0172880108593613,9.861270095805126e-06
C_bridge_sq,2,hexc_00453,454,604143557,604142790,767,604143557,post_P0_negative_tail,True,False,False,False,8.008560508629008,64.13704142037213,76.23714683878461,221.79520005948183,64.13704142037233,0.3437276677689109,0.0195894059694182,0.0067334208268465,8.378008990140035e-06
C_bridge_sq,3,hexc_00442,443,604711937,604711166,771,604711937,post_P0_negative_tail,True,False,False,False,7.700000352930436,59.29000543512884,71.15483103322367,213.80503780426838,59.29000543512922,0.3328024061732507,0.0188328980347233,0.0062676337811714,7.786089605810625e-06
C_bridge_sq,4,hexc_00275,276,108562160,108561847,313,108562291,finite_negative,False,False,False,True,7.5172957888070675,56.50973597641647,55.15381198050545,132.99453883757167,56.50973597641648,0.4147073440952765,0.0219576117786852,0.0091059828634137,1.8522158874289518e-05
C_bridge_sq,5,hexc_00081,82,12782500,12782006,494,12782599,finite_negative,False,False,False,True,7.438244050688833,55.327474557607815,64.68278396224969,165.32323621154507,55.327474557607935,0.3912504100723165,0.0277787667189073,0.0108684538700757,0.00019055396233561665
C_bridge_sq,6,hexc_00355,356,33821509,33821502,7,33821677,finite_positive,False,False,False,True,7.389235181064235,54.600796561077395,12.35249588295892,19.550078668065368,54.600796561077786,0.6318386791525534,0.0245850448951147,0.0155337822934355,5.261093137005489e-06
C_bridge_sq,7,hexc_00242,243,30781189,30781182,7,30781319,finite_positive,False,False,False,True,7.348868426896937,54.00586715584266,12.28521502684498,19.443278275303793,54.0058671558429,0.6318489532935009,0.0247186134594574,0.0156184300412248,5.094887652269561e-06
C_bridge_sq,8,hexc_00198,199,39635782,39635564,218,39635819,finite_positive,False,False,False,True,7.2093575037210575,51.97483561645912,38.59059490648997,106.44488792040764,51.97483561645938,0.3625406128976837,0.0235535603972833,0.0085391222223537,2.9455045046565418e-05
C_bridge_sq,9,hexc_00026,27,1192781,1192323,458,1192781,finite_negative,False,False,False,True,7.128590769352836,50.816806356902454,50.44514412859007,152.55850455304468,50.816806356902504,0.3306609767602319,0.036413013628854,0.0120403626533005,0.0013147173309265247
C_bridge_sq,10,hexc_00662,663,604872091,604872087,4,604872131,post_P0_positive_tail,True,False,False,False,7.085660762263412,50.20658843787932,10.056372108580035,14.171321524526851,50.206588437879496,0.7096283921845326,0.0173298733143556,0.0122977701368278,2.5942484235859025e-07
C_bridge_sq,11,hexc_00273,274,109547591,109546815,776,109547591,finite_negative,False,False,False,True,6.908850056190115,47.732209098918155,65.83835952501795,192.45829226292332,47.73220909891857,0.3420915708587596,0.0201606811377659,0.0068967990800009,3.3288283699061934e-05
C_bridge_sq,12,hexc_00059,60,3290983,3290975,8,3291137,finite_positive,False,False,False,True,6.864752116121557,47.1248216157954,13.100680718981152,19.416451089897027,47.124821615795426,0.674720661274592,0.0304825946938867,0.0205672364492246,4.0678337800586845e-05
