q,N_total,d_emp,g,g2,total_abs_weighted_discrepancy,max_interval_abs_component
1087,22,0.0001332800213248034,8.471116035653233e-07,7.175980688950135e-13,1.149132453388457e-11,1.320043788736369e-12
1163,18,0.00010904729017483916,7.399700756101424e-07,5.475557127984798e-13,1.0977107777139849e-11,2.6398152322925657e-12
991,18,0.00010904729017483916,1.0192744804248337e-06,1.0389204664453147e-12,1.0886327597835647e-11,1.2451486903287748e-12
1009,17,0.00010298910738734809,9.832145610143629e-07,9.667108729906663e-13,1.0799547156020876e-11,1.5597060551226437e-12
1123,26,0.00015751275247476767,7.936470143792966e-07,6.298755834331714e-13,1.0771007559617421e-11,1.2476471275690311e-12
1151,20,0.00012116365574982128,7.554867223208553e-07,5.707601876031091e-13,1.0726125606191456e-11,2.0258725983230076e-12
1093,23,0.00013933820411229448,8.378324938251745e-07,7.019632877093111e-13,1.0420352553236177e-11,9.349049052899468e-13
1181,19,0.00011510547296233022,7.175763142410195e-07,5.149157667597264e-13,1.0133707995219138e-11,1.1614412908261836e-12
1187,18,0.00010904729017483916,7.103372539214168e-07,5.045790143086193e-13,9.966237950968823e-12,1.4234626832723728e-12
1201,25,0.0001514545696872766,6.938662225922842e-07,4.814503348544853e-13,9.673329085034214e-12,5.359462216901825e-13
1097,21,0.00012722183853731235,8.317308651997152e-07,6.917762321258668e-13,9.525042825662965e-12,1.297353891908763e-12
1091,16,9.693092459985703e-05,8.409085175623743e-07,7.0712713490895e-13,9.317768496017338e-12,1.374499627360004e-12
1213,20,0.00012116365574982128,6.801999243617684e-07,4.626719371017554e-13,8.988907422829969e-12,1.0312561869470615e-12
1153,15,9.087274181236596e-05,7.528669172207767e-07,5.668085950455158e-13,8.811070617468112e-12,1.426983028659353e-12
1117,14,8.48145590248749e-05,8.021999531515227e-07,6.435247648363053e-13,8.67147924729987e-12,1.9206640770673234e-12
1129,18,0.00010904729017483916,7.852301352480385e-07,6.165863653016529e-13,8.15877047583733e-12,7.389802492358002e-13
1223,17,0.00010298910738734809,6.691174207396959e-07,4.4771812273734327e-13,7.842903150815005e-12,1.5162353712539363e-12
1217,14,8.48145590248749e-05,6.757341175453012e-07,4.566165976147269e-13,7.809425707252587e-12,1.4077808433724126e-12
1063,13,7.875637623738383e-05,8.858133449552044e-07,7.84665282100728e-13,7.677917413028375e-12,8.294921611079729e-13
1109,16,9.693092459985703e-05,8.138206274231509e-07,6.62304013619411e-13,7.664102793493293e-12,1.2183366927137004e-12
1061,14,8.48145590248749e-05,8.89157612078317e-07,7.906012591168147e-13,7.629077517911793e-12,1.5155274278757742e-12
1259,15,9.087274181236596e-05,6.313840823021779e-07,3.9864585938456337e-13,7.40448711346867e-12,1.0036207650334136e-12
1297,22,0.0001332800213248034,5.949151413042444e-07,3.5392402535304903e-13,7.291693434502771e-12,7.150652139579995e-13
1171,22,0.0001332800213248034,7.298897136642653e-07,5.327389941129032e-13,6.903808859867494e-12,5.29330827817099e-13
1277,13,7.875637623738383e-05,6.137032572914084e-07,3.766316880100846e-13,6.74453333347127e-12,1.3741651256517119e-12
1229,16,9.693092459985703e-05,6.625974349528098e-07,4.39035360806043e-13,6.533234280457424e-12,8.07624411855329e-13
1289,18,0.00010904729017483916,6.023254581287435e-07,3.6279595751000066e-13,6.1119995348371626e-12,7.976077895415423e-13
1303,23,0.00013933820411229448,5.894467806185183e-07,3.474475071815356e-13,5.8033454129860434e-12,6.926764492280988e-13
1231,13,7.875637623738383e-05,6.60445272202519e-07,4.361879575746594e-13,5.751119168150913e-12,1.591460035386869e-12
1291,20,0.00012116365574982128,6.004599523234798e-07,3.605521543443156e-13,5.740552271512795e-12,5.586498606060211e-13
1439,21,0.00012722183853731235,4.832594107521353e-07,2.3353965808050105e-13,5.389179519965606e-12,9.632587721896918e-13
1283,13,7.875637623738383e-05,6.079744358909197e-07,3.69632914696882e-13,5.0356388122959476e-12,7.603824638647732e-13
1237,12,7.269819344989277e-05,6.54051324715553e-07,4.277831353621698e-13,4.848592422525187e-12,5.193543208569834e-13
1279,16,9.693092459985703e-05,6.117846860504526e-07,3.7428050208585086e-13,4.7486773512676054e-12,1.5150576145342549e-12
1307,11,6.66400106624017e-05,5.85842987049355e-07,3.4321200547491067e-13,4.73269365726312e-12,9.539765925868667e-13
1193,10,6.058182787491064e-05,7.032071873400203e-07,4.945003483266625e-13,4.558261107686076e-12,6.651276237152548e-13
1367,15,9.087274181236596e-05,5.355262777389223e-07,2.867883941489054e-13,4.227884940269705e-12,7.220112306767233e-13
1327,15,9.087274181236596e-05,5.683103338141238e-07,3.229766355199209e-13,4.146841083863166e-12,6.411399083644332e-13
1249,13,7.875637623738383e-05,6.415388721233397e-07,4.115721244452869e-13,3.824195353050987e-12,7.536936657644363e-13
1481,24,0.00014539638689978554,4.562293556216581e-07,2.0814522493095339e-13,3.5774407279234548e-12,4.3183835568987045e-13
1319,12,7.269819344989277e-05,5.752277038865835e-07,3.30886911318631e-13,3.4469681832223134e-12,5.909442264482679e-13
1433,14,8.48145590248749e-05,4.873161356220298e-07,2.3747701603758855e-13,3.384337372388584e-12,6.927038793202378e-13
1361,13,7.875637623738383e-05,5.402601893071703e-07,2.918810721502195e-13,3.3617408585429185e-12,7.293507948669771e-13
1447,15,9.087274181236596e-05,4.779287714076245e-07,2.2841591053920144e-13,3.3463914765368037e-12,3.4663822707323103e-13
1399,18,0.00010904729017483916,5.112992010438684e-07,2.614268729880982e-13,3.282037593921533e-12,3.1332073920117674e-13
1409,12,7.269819344989277e-05,5.040647783727983e-07,2.540813007960182e-13,3.252787399235128e-12,5.625512018024159e-13
1429,18,0.00010904729017483916,4.900490637122588e-07,2.401480848452615e-13,3.119437290688562e-12,5.719698706481377e-13
1381,13,7.875637623738383e-05,5.247195374072558e-07,2.753305929368846e-13,3.0959004136629622e-12,2.7259840392624267e-13
1321,10,6.058182787491064e-05,5.734865689445553e-07,3.288868447597982e-13,3.0602539747947444e-12,5.442913301594674e-13
1301,9,5.452364508741958e-05,5.91261160054396e-07,3.495897593888701e-13,2.94681637171601e-12,7.659054039346214e-13
1459,12,7.269819344989277e-05,4.700966800832259e-07,2.2099088862527084e-13,2.9285088249913745e-12,3.946765050643536e-13
1373,13,7.875637623738383e-05,5.308543144653554e-07,2.8180630318648246e-13,2.912302353929295e-12,4.49490836033806e-13
1451,13,7.875637623738383e-05,4.7529646617077404e-07,2.2590673075442574e-13,2.8199678838736892e-12,2.640272769506974e-13
1471,18,0.00010904729017483916,4.6245554646059647e-07,2.138651324521689e-13,2.71386620622958e-12,2.1274570462064289e-13
