candidate_id,block_id,x,y,h,p_star,E_theta_sign,post_P0_flag,finite_zone_flag,E_theta,Q_R2Q,Q_delta_D,Q_exc,epsilon,near_forbidden_flag,forbidden_flag,C_minus_flag,V2,sqrt_V2,V2_source,V2_available_flag,Q_exc_over_sqrt_V2,Q_exc_over_sqrt_V2_global,row_regime,Q_exc_above_0p025_flag,variance_ratio_above_constant_flag,missing_Q_exc_flag,missing_V2_flag,invalid_V2_flag
hexc_00040,41,604672261,604520611,151650,604672261,negative,True,False,-1617.0683062109456,0.7568596623500748,0.7467076670478365,0.0014698183580815,0.0086821769441567,True,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.07118125850785215,0.07118125850785215,threshold_relevant_negative,False,False,False,False,False
hexc_00041,42,7117417,7115469,1948,7117417,negative,False,True,-117.76229972501552,0.1460888226947264,0.1301567329770984,0.007641518998895,0.0082905707187329,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.3700681354687828,0.3700681354687828,finite_negative,False,False,False,False,False
hexc_00042,43,12781267,12779528,1739,12781267,negative,False,True,-151.7480364006467,0.1300675391522673,0.1101458902583867,0.0053725661686165,0.014549082725264,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.26018590609930775,0.26018590609930775,finite_negative,False,False,False,False,False
hexc_00043,44,109588091,109577354,10737,109588091,negative,False,True,-629.3445955758762,0.2415685632788372,0.2225301612998425,0.0066368119233886,0.0124015900556059,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.3214115693883069,0.3214115693883069,finite_negative,False,False,False,False,False
hexc_00044,45,12836777,12833438,3339,12836777,negative,False,True,-163.66723291570224,0.1752468754780604,0.1608095545919656,0.0060864238556851,0.0083508970304095,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.29475704088045995,0.29475704088045995,finite_negative,False,False,False,False,False
hexc_00045,46,618029,618028,1,618029,positive,False,True,12.3342906609052,0.0748436752518515,0.0731760324597099,0.0,0.0016676427921415,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.0,0.0,finite_positive,False,False,False,False,False
hexc_00046,47,12807413,12805898,1515,12807413,negative,False,True,-205.7621329185172,0.1184377830877646,0.0957330676536776,0.006714545286013,0.0159901701480738,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.3251760880101006,0.3251760880101006,finite_negative,False,False,False,False,False
hexc_00047,48,3440630,3439819,811,3440807,positive,False,True,46.90968440981942,0.1225172337511368,0.1072136412049886,0.0089098695882727,0.0063937229578754,False,False,False,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.43149259018774794,0.43149259018774794,finite_positive,False,False,False,False,False
hexc_00048,49,33902159,33888759,13400,33902159,negative,False,True,-291.8733586694325,0.3075518627750951,0.2975764937115444,0.0049814047227133,0.0049939643408373,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.2412425013948762,0.2412425013948762,finite_negative,False,False,False,False,False
hexc_00049,50,3457967,3457512,455,3457967,negative,False,True,-93.6529697629686,0.0793601948576568,0.055366069112823,0.006278619086263,0.0177155066585706,False,False,True,0.0004263792000474,0.0206489515483821,global_V2_from_shell_variance_summary,True,0.304064788546368,0.304064788546368,finite_negative,False,False,False,False,False
