candidate_id,block_id,x,y,h,p_star,post_P0_flag,post_P0_by_pstar,finite_certified_flag,finite_zone_flag,threshold_relevant_flag,forbidden_flag,near_forbidden_flag,positive_harmless_flag,negative_transfer_flag,row_regime,Q_R2Q,Q_delta_D,Q_exc,epsilon,E_theta,epsilon_abs,Q_R2Q_recon,Q_R2Q_reconstruction_error,E_theta_sign,Q_R2Q_gt_0p75,Q_delta_D_gt_0p75,E_theta_positive,E_theta_nonnegative,E_theta_negative,positive_harmless_bound,positive_subthreshold_bound,Q_R2Q_minus_Q_delta_D,Q_exc_plus_abs_epsilon,direct_threshold_sign_counterexample,direct_delta_counterexample,endpoint_sign_bridge_counterexample,positive_harmless_counterexample_0p305,positive_harmless_counterexample_0p75,thresholdtransfer_failure_flag,Q_R2Q_bin,Q_delta_D_bin
hexc_00121,122,30418643,30418642,1,30418643,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0587452641225273,0.0569472827269941,1.531690711227097e-15,0.0017979813955316,16.230566234990423,0.0017979813955316,0.05874526412252723,6.938893903907228e-17,positive,False,False,True,True,False,True,True,0.0017979813955332005,0.0017979813955331318,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00122,123,3277217,3277216,1,3277217,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0681011679331808,0.0652189030525632,0.0,0.0028822648806176,14.0025051445914,0.0028822648806176,0.0681011679331808,0.0,positive,False,False,True,True,False,True,True,0.002882264880617602,0.0028822648806176,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00123,124,30340831,30340827,4,30340987,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0597199396392292,0.0567134556707363,0.0144204613622394,-0.0114139773937465,30.456009776270783,0.0114139773937465,0.0597199396392292,0.0,positive,False,False,True,True,False,True,True,0.0030064839684928943,0.0258344387559859,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00125,126,40847383,40847382,1,40847383,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.057385037625347,0.0560074063047842,0.0,0.0013776313205628,16.525353313570633,0.0013776313205628,0.057385037625347,0.0,positive,False,False,True,True,False,True,True,0.0013776313205628027,0.0013776313205628,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00126,127,3236861,3236860,1,3236861,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0687664195967628,0.0652716233260424,0.0,0.0034947962707203,13.990114590991642,0.0034947962707203,0.0687664195967627,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.003494796270720399,0.0034947962707203,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00130,131,12786583,12786580,3,12786847,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.071246224678351,0.0691693522625108,0.0115282255457049,-0.0094513531298646,29.727813795617536,0.0094513531298646,0.0712462246783511,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.002076872415840203,0.020979578675569502,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00131,132,1189387,1189386,1,1189387,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0709787746513286,0.0698326477486181,0.0,0.0011461269027105,12.988948606314286,0.0011461269027105,0.0709787746513286,0.0,positive,False,False,True,True,False,True,True,0.0011461269027105009,0.0011461269027105,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00133,134,1189751,1189750,1,1189751,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0714970560553375,0.0698311564099448,0.0,0.0016658996453926,12.989254599495716,0.0016658996453926,0.0714970560553374,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.001665899645392696,0.0016658996453926,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00135,136,359539,359538,1,359539,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0782047695913046,0.0761944640634262,0.0,0.0020103055278783,11.792577934264838,0.0020103055278783,0.0782047695913045,9.71445146547012e-17,positive,False,False,True,True,False,True,True,0.0020103055278783977,0.0020103055278783,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00136,137,2819,2818,1,2819,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.1252023670442801,0.1207553395984347,1.125891913241079e-16,0.0044470274458452,6.944137491114112,0.0044470274458452,0.12520236704428,8.326672684688674e-17,positive,False,False,True,True,False,True,True,0.0044470274458453946,0.004447027445845313,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
hexc_00137,138,7048213,7048210,3,7048303,False,False,True,True,False,False,False,True,False,sign_inconsistent_positive_harmless,0.0741760381642046,0.0717275226371058,0.0119545874356355,-0.0095060719085367,28.53656905120186,0.0095060719085367,0.07417603816420461,1.3877787807814457e-17,positive,False,False,True,True,False,True,True,0.0024485155270987935,0.0214606593441722,False,False,False,False,False,False,"(-inf, 0.305]","(-inf, 0.25]"
