row_id,candidate_id,block_id,source,x,y,h,right_endpoint,p_star,post_P0_flag,finite_zone_flag,finite_certificate_flag,coordinate_available_flag,finite_certificate_coordinate_excluded_flag,E_theta,E_theta_sign,E_theta_normalized,Q_R2Q,Q_exc,Q_O2,accumulation_proxy,positive_harmless_flag,negative_transfer_flag,channel_compatible_flag,O2_applicable_flag,B3_applicable_flag,endpoint_repaid_flag,near_forbidden_flag,forbidden_flag,known_pstar_110312593_flag,finite_certification_mode,finite_certification_pass_flag,failure_type,status
finite_00081,cand_00081,82.0,theta,12782500.0,12782006.0,494.0,12782500.0,12782599.0,False,True,True,True,False,-68.54730774172731,negative,-0.0115177981909939,0.0796044258439215,0.0108684538700757,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00082,cand_00082,83.0,theta,42923.0,42922.0,1.0,42923.0,42923.0,False,True,True,True,False,9.66716309178561,positive,0.0849573926179324,0.0952612074725035,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00083,cand_00083,84.0,theta,617579.0,617578.0,1.0,617579.0,617579.0,False,True,True,True,False,12.33356227452393,positive,0.0693739053920691,0.0752538383487422,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00084,cand_00084,85.0,theta,10357.0,10356.0,1.0,10357.0,10357.0,False,True,True,True,False,8.24541789858888,positive,0.0964627367254228,0.1086725867349362,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00085,cand_00085,86.0,theta,15859.0,15858.0,1.0,15859.0,15859.0,False,True,True,True,False,8.6714924414986,positive,0.0927057894159821,0.1069835705399953,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00086,cand_00086,87.0,theta,109467389.0,109460158.0,7231.0,109467389.0,109467389.0,False,True,True,True,False,-178.26963014023477,negative,-0.0061180353375162,0.2045445847739718,0.0074324407919268,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00087,cand_00087,88.0,theta,3290641.0,3290318.0,323.0,3290641.0,3290641.0,False,True,True,True,False,-37.87575835699317,negative,-0.0093582764758578,0.0705553720204413,0.0078480023338476,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00088,cand_00088,89.0,theta,1188149.0,1188148.0,1.0,1188149.0,1188149.0,False,True,True,True,False,12.987907191915609,positive,0.066379456518596,0.0739495641263946,0.0205672364492246,0.0499059549846063,0.0,True,False,True,True,True,True,False,False,False,positive_harmless_cap,True,,pass
finite_00089,cand_00089,90.0,theta,179641471.0,179630689.0,10782.0,179641471.0,179641471.0,False,True,True,True,False,-461.50121601656247,negative,-0.0123032569073018,0.2296201708973325,0.0058305796296811,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
finite_00090,cand_00090,91.0,theta,179602723.0,179595316.0,7407.0,179602723.0,179602723.0,False,True,True,True,False,-450.7172966904154,negative,-0.0144973898480871,0.1917202756433797,0.0055138368213938,0.0499059549846063,0.0,False,True,True,True,True,True,False,False,False,negative_channel_repaid,True,,pass
