block_id,source_row,p_star,y,h,carrier_count,weighted_discrepancy,signed_weighted_discrepancy,small_q_le_13_discrepancy,tail_q_gt_13_discrepancy,top_component_q,top_component_abs,denom_sqrt_h_log2p,Q_LAN,h_bin,scale_bin
163,163,109511267,109509400,1867,192,0.07937876086731005,-0.07663181384733936,0.07931347681227303,6.52840550374661e-05,3,0.060499032710148344,14806.662067218394,5.361016582059557e-06,1025<=h<=8192,100M<=p<500M
164,164,39637237,39636755,482,48,0.34219072147687224,0.3220121274441974,0.3421708844375158,1.9837039358082697e-05,3,0.3320974640446851,6719.938405053582,5.0921705059012925e-05,257<=h<=1024,p<100M
165,165,40844717,40842945,1772,190,0.2625654934349812,-0.24787063483316663,0.2625549547294194,1.0538705563844125e-05,3,0.25489198260089907,12928.918214824169,2.0308388456965118e-05,1025<=h<=8192,p<100M
166,166,30799397,30798784,510,56,0.05753046995782498,0.05580704298630058,0.057515018338255536,1.545161956965834e-05,3,0.054113708052132656,6714.459058543708,8.568146660246776e-06,257<=h<=1024,p<100M
167,167,109682107,109679748,2359,236,0.34877853442906614,-0.3300459806673751,0.34875893341275765,1.9601016310535507e-05,3,0.33940969066918686,16646.46854613568,2.0952103652641197e-05,1025<=h<=8192,100M<=p<500M
171,171,33862193,33861455,738,72,0.11345601180111355,-0.1125076263212224,0.11343574187662483,2.026992448931758e-05,3,0.1129649150440834,8166.136678142829,1.3893474512223828e-05,257<=h<=1024,p<100M
174,174,30825511,30824836,675,74,0.19875814413381712,0.1863278270964758,0.1987500961021195,8.048031698529333e-06,3,0.1925391459577784,7725.391894077939,2.57279044039409e-05,257<=h<=1024,p<100M
175,175,12776941,12776609,332,42,0.08951496373760505,0.07530663289151228,0.08948874260940716,2.6221128198281433e-05,3,0.0822519477057661,4878.687537946786,1.8348164960627458e-05,257<=h<=1024,p<100M
176,176,30359687,30358683,1004,104,0.34206324703424756,-0.33001548689392174,0.34203078374919976,3.246328504995944e-05,3,0.3360110501254044,9405.202559174486,3.636957788863095e-05,257<=h<=1024,p<100M
177,177,110319577,110315160,4417,452,0.0464991844410296,0.04162549015068269,0.04641745553725196,8.172890377807733e-05,3,0.04391778642078492,22792.590899852876,2.0401008663446748e-06,1025<=h<=8192,100M<=p<500M
178,178,109496207,109495510,697,56,0.11961478475370539,-0.11556725596169261,0.11959818405223273,1.6600701473244942e-05,3,0.112552958614534,9046.79900396964,1.3221779847349287e-05,257<=h<=1024,100M<=p<500M
179,179,30851287,30850871,350,42,0.03372011119149668,-0.02493197865405948,0.033707706284582875,1.2404906913972401e-05,3,0.028859163405345,5563.457264810393,6.060999408547786e-06,257<=h<=1024,p<100M
181,181,180635669,180633960,1709,152,0.2393307613129221,0.19904917333310043,0.23927416889349928,5.659241942381474e-05,3,0.21830863614150312,14942.604725711406,1.6016669496792017e-05,1025<=h<=8192,100M<=p<500M
