candidate_id,x,selected_block_id,p_star,h,pstar_over_x,h_over_x,scale_ratio,pstar_comparable_flag,h_short_flag,scale_positive_flag,geometry_pass_flag
cand_00178,30851221,theta_local:179:30850871:350,30851287,350.0,1.0000021392994463,1.1344769790472799e-05,0.0033682006205087186,True,True,True,True
cand_00179,7112887,theta_local:180:7112886:1,7112887,1.0,1.0,1.4058988987172156e-07,0.00037495318357325835,True,True,True,True
cand_00180,180635669,theta_local:181:180633960:1709,180635669,1709.0,1.0,9.461032859462546e-06,0.003075879201051716,True,True,True,True
cand_00181,30787789,theta_local:182:30787786:3,30788077,3.0,1.000009354357989,9.744122905350559e-08,0.00031215611559826616,True,True,True,True
cand_00182,109726069,theta_local:183:109724532:1537,109726069,1537.0,1.0,1.4007610169648927e-05,0.0037426742003077067,True,True,True,True
cand_00183,604356173,theta_local:184:604335487:20686,604356173,20686.0,1.0,3.4228160353381545e-05,0.0058504837708843824,True,True,True,True
cand_00184,187500319,theta_local:185:187498570:1749,187500319,1749.0,1.0,9.327984129989666e-06,0.003054174868927722,True,True,True,True
cand_00185,22052341,theta_local:186:22052337:4,22052431,4.0,1.0000040811993611,1.8138663827119307e-07,0.00042589530801758954,True,True,True,True
cand_00186,338531,theta_local:187:338530:1,338531,1.0,1.0,2.9539392256543716e-06,0.0017187027740870064,True,True,True,True
cand_00187,31027859,theta_local:188:31027175:684,31027859,684.0,1.0,2.2044705050387137e-05,0.004695178915695028,True,True,True,True
cand_00188,39649783,theta_local:189:39649782:1,39649783,1.0,1.0,2.522081898909762e-08,0.00015881063877806682,True,True,True,True
cand_00189,31026221,theta_local:190:31025775:446,31026421,446.0,1.0000064461604912,1.4374937895272519e-05,0.003791432365465137,True,True,True,True
cand_00190,109772783,theta_local:191:109770459:2324,109772783,2324.0,1.0,2.117100374507222e-05,0.004601195903791994,True,True,True,True
cand_00191,3459179,theta_local:192:3459178:1,3459179,1.0,1.0,2.890859362871942e-07,0.0005376671240527862,True,True,True,True
cand_00192,1199993,theta_local:193:1199992:1,1199993,1.0,1.0,8.333381944728011e-07,0.0009128735917271356,True,True,True,True
cand_00193,33878263,theta_local:194:33877658:605,33878389,605.0,1.0000037191989448,1.7858058425250434e-05,0.0042258814166994075,True,True,True,True
cand_00194,33865589,theta_local:195:33865210:379,33865589,379.0,1.0,1.1191300998780798e-05,0.0033453401917863,True,True,True,True
cand_00195,39648137,theta_local:196:39647291:846,39648137,846.0,1.0,2.1337698666648576e-05,0.004619274690538393,True,True,True,True
cand_00196,30786463,theta_local:197:30786460:3,30786629,3.0,1.000005391980235,9.744542593281989e-08,0.00031216269447572416,True,True,True,True
cand_00197,40839499,theta_local:198:40839496:3,40839853,3.0,1.0000086680789106,7.345829585225813e-08,0.0002710321773957585,True,True,True,True
cand_00198,39635782,theta_local:199:39635564:218,39635819,218.0,1.000000933499937,5.500080709899958e-06,0.0023452253375269958,True,True,True,True
cand_00199,17590933,theta_local:200:17590930:3,17591099,3.0,1.0000094366796803,1.7054240386226244e-07,0.0004129682672192097,True,True,True,True
cand_00200,7051567,theta_local:201:7051566:1,7051567,1.0,1.0,1.4181245104811456e-07,0.00037657993978452243,True,True,True,True
cand_00201,673,theta_local:202:672:1,673,1.0,1.0,0.0014858841010401188,0.03854716722458499,True,True,True,True
cand_00202,12784609,theta_local:203:12784608:1,12784609,1.0,1.0,7.821905229952672e-08,0.0002796766924495617,True,True,True,True
cand_00203,445141,theta_local:204:445140:1,445141,1.0,1.0,2.246479205465235e-06,0.0014988259423512906,True,True,True,True
cand_00204,12807857,theta_local:205:12807856:1,12807857,1.0,1.0,7.807707409600217e-08,0.00027942275157188284,True,True,True,True
cand_00205,180640297,theta_local:206:180639336:961,180640297,961.0,1.0,5.319964680970382e-06,0.0023065048625507782,True,True,True,True
cand_00206,1518191,theta_local:207:1518190:1,1518191,1.0,1.0,6.58678651105164e-07,0.0008115901989952589,True,True,True,True
cand_00207,604822567,theta_local:208:604819805:2762,604822567,2762.0,1.0,4.5666285464510455e-06,0.002136967137428895,True,True,True,True
cand_00208,40865926,theta_local:209:40865652:274,40866037,274.0,1.00000271619931,6.7048523505866475e-06,0.002589373767367337,True,True,True,True
