metric,rank,candidate_id,block_id,p_star,h,post_P0_flag,value,K_prime,spectral_bound_over_h,spectral_tightness,rayleigh_over_h,top_eigenvalue_over_h,top_eigenvector_alignment,effective_rank,event_count,sample_count
top_eigenvector_alignment,11,hexc_00619,620,109709357,4,False,0.28978414915965317,42.84298005706769,184.3437306558657,4.302775633495061,0.0625000000615436,0.2689234773582496,0.28978414915965317,1.3157894736842108,2,5
top_eigenvector_alignment,12,hexc_00459,460,178299217,4,False,0.28978414897096666,45.12012021068158,194.1417538994372,4.302775635191609,0.06250000003690037,0.2689234773582496,0.28978414897096666,1.3157894736842108,2,5
top_eigenvector_alignment,13,hexc_00423,424,178907011,4,False,0.2897841489699563,45.13628574684368,194.21131057497533,4.302775635200693,0.06250000003676842,0.2689234773582496,0.2897841489699563,1.3157894736842108,2,5
top_eigenvector_alignment,14,hexc_00448,449,178913689,4,False,0.2897841489699452,45.1364651387445,194.21208245807975,4.302775635200792,0.06250000003676699,0.2689234773582496,0.2897841489699452,1.3157894736842108,2,5
top_eigenvector_alignment,15,hexc_00525,526,179146433,4,False,0.28978414896956023,45.142639412569515,194.2386489732154,4.302775635204254,0.0625000000367167,0.2689234773582496,0.28978414896956023,1.3157894736842108,2,5
top_eigenvector_alignment,16,hexc_00444,445,179382319,4,False,0.2897841489691714,45.14888968695817,194.26554250172617,4.302775635207752,0.06250000003666589,0.2689234773582496,0.2897841489691714,1.3157894736842108,2,5
top_eigenvector_alignment,17,hexc_00322,323,179438351,4,False,0.2897841489690788,45.150375852758906,194.27193713976092,4.302775635208582,0.06250000003665383,0.2689234773582496,0.2897841489690788,1.3157894736842108,2,5
top_eigenvector_alignment,18,hexc_00673,674,187509659,4,False,0.289784148956378,45.359671130370074,195.17248776601042,4.302775635322779,0.06250000003499508,0.2689234773582496,0.289784148956378,1.3157894736842108,2,5
top_eigenvector_alignment,19,hexc_00662,663,604872131,4,True,0.2897841487666825,51.1087169203916,219.90934200484216,4.3027756370284,0.06250000001022005,0.2689234773582496,0.2897841487666825,1.3157894736842108,2,5
top_eigenvector_alignment,20,hexc_00059,60,3291137,8,False,0.289566221076704,47.5033278218918,288.4117903765746,6.0714018070047855,0.07031251096785812,0.4268955061452976,0.289566221076704,1.6647922524211185,3,9
effective_rank,1,hexc_00016,17,59333,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,2,hexc_01241,1242,33915443,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,3,hexc_01242,1243,180643423,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,4,hexc_00019,20,58511,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,5,hexc_01243,1244,108531719,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,6,hexc_00021,22,60209,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,7,hexc_01244,1245,108835757,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,8,hexc_01245,1246,109496897,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,9,hexc_01246,1247,108555593,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,10,hexc_01247,1248,109683107,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,11,hexc_01248,1249,30348053,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,12,hexc_01249,1250,30650057,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,13,hexc_01250,1251,30422963,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,14,hexc_01251,1252,108804461,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,15,hexc_01252,1253,604828963,1,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,16,hexc_01253,1254,604838293,1,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
effective_rank,17,hexc_01440,1441,178013243,1,False,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,1,2
