block_id,p_star,y,h,t,offset,D_t,line_t,diff,abs_diff,Q_delayed_proxy
3,30974597,30910184,64413,30915310,5126.0,-8034.199661686599,-8181.260912624588,147.06125093798892,147.06125093798892,0.6666003015211243
3,30974597,30910184,64413,30917218,7034.0,-9729.348667451144,-9667.216585454653,-62.13208199649125,62.13208199649125,0.6666003015211243
3,30974597,30910184,64413,30919835,9651.0,-11796.091363494115,-11705.343417632997,-90.74794586111784,90.74794586111784,0.6666003015211243
3,30974597,30910184,64413,30923427,13243.0,-14473.292651682495,-14502.802944260664,29.510292578168446,29.510292578168446,0.6666003015211243
3,30974597,30910184,64413,30928355,18171.0,-18204.196333130807,-18340.742962974797,136.54662984398965,136.54662984398965,0.6666003015211243
3,30974597,30910184,64413,30935117,24933.0,-23662.61002042532,-23607.007250017195,-55.60277040812434,55.60277040812434,0.6666003015211243
3,30974597,30910184,64413,30944396,34212.0,-30881.164178070285,-30833.518092884166,-47.64608518611931,47.64608518611931,0.6666003015211243
3,30974597,30910184,64413,30957127,46943.0,-40917.71792929377,-40748.45607548351,-169.26185381026153,169.26185381026153,0.6666003015211243
3,30974597,30910184,64413,30974597,64413.0,-54354.14035448835,-54354.14035448835,0.0,0.0,0.6666003015211243
49,33902159,33888759,13400,33888759,0.0,-3286.909262209392,-3286.909262209392,0.0,0.0,0.30255789843425773
49,33902159,33888759,13400,33888760,1.0,-3286.7655510693926,-3287.6821096590793,0.9165585896867015,0.9165585896867015,0.30255789843425773
49,33902159,33888759,13400,33888761,2.0,-3286.442201004392,-3288.4549571087664,2.0127561043746027,2.0127561043746027,0.30255789843425773
49,33902159,33888759,13400,33888762,3.0,-3286.4278696995725,-3289.2278045584535,2.799934858880988,2.799934858880988,0.30255789843425773
49,33902159,33888759,13400,33888763,4.0,-3303.4431136770468,-3290.0006520081406,-13.442461668906162,13.442461668906162,0.30255789843425773
49,33902159,33888759,13400,33888764,5.0,-3303.4431136770468,-3290.7734994578277,-12.669614219219056,12.669614219219056,0.30255789843425773
49,33902159,33888759,13400,33888766,7.0,-3302.976052472047,-3292.319194357202,-10.656858114844908,10.656858114844908,0.30255789843425773
49,33902159,33888759,13400,33888767,8.0,-3302.652702407047,-3293.092041806889,-9.560660600157917,9.560660600157917,0.30255789843425773
49,33902159,33888759,13400,33888768,9.0,-3302.6099453736583,-3293.864889256576,-8.745056117082186,8.745056117082186,0.30255789843425773
49,33902159,33888759,13400,33888769,10.0,-3302.2865953086584,-3294.6377367062632,-7.648858602395194,7.648858602395194,0.30255789843425773
49,33902159,33888759,13400,33888771,12.0,-3301.945343509956,-3296.1834316056375,-5.761911904318367,5.761911904318367,0.30255789843425773
49,33902159,33888759,13400,33888774,15.0,-3301.475484251392,-3298.5019739546988,-2.973510296693348,2.973510296693348,0.30255789843425773
49,33902159,33888759,13400,33888775,16.0,-3301.152134186392,-3299.274821404386,-1.8773127820059017,1.8773127820059017,0.30255789843425773
49,33902159,33888759,13400,33888779,20.0,-3300.154778874792,-3302.3662112031343,2.211432328342198,2.211432328342198,0.30255789843425773
49,33902159,33888759,13400,33888785,26.0,-3299.0370115278192,-3307.0032959012565,7.966284373437247,7.966284373437247,0.30255789843425773
49,33902159,33888759,13400,33888791,32.0,-3315.054900901893,-3311.640380599379,-3.4145203025136652,3.4145203025136652,0.30255789843425773
49,33902159,33888759,13400,33888793,34.0,-3314.725399111518,-3313.1860754987533,-1.539323612764747,1.539323612764747,0.30255789843425773
49,33902159,33888759,13400,33888804,45.0,-3312.679096371413,-3321.6873974453115,9.008301073898565,9.008301073898565,0.30255789843425773
49,33902159,33888759,13400,33888818,59.0,-3309.670642018467,-3332.507261740931,22.836619722464093,22.836619722464093,0.30255789843425773
49,33902159,33888759,13400,33888823,64.0,-3308.547100719308,-3336.3714989893665,27.824398270058282,27.824398270058282,0.30255789843425773
49,33902159,33888759,13400,33888836,77.0,-3305.9336274471684,-3346.4185158352984,40.48488838813,40.48488838813,0.30255789843425773
49,33902159,33888759,13400,33888860,101.0,-3353.1764600969623,-3364.966854627789,11.790394530826688,11.790394530826688,0.30255789843425773
49,33902159,33888759,13400,33888887,128.0,-3364.5523030858744,-3385.8337357693404,21.281432683465937,21.281432683465937,0.30255789843425773
49,33902159,33888759,13400,33888892,133.0,-3363.760050021271,-3389.697973017776,25.937922996504767,25.937922996504767,0.30255789843425773
49,33902159,33888759,13400,33888933,174.0,-3407.3022490621884,-3421.384718454947,14.082469392758412,14.082469392758412,0.30255789843425773
49,33902159,33888759,13400,33888987,228.0,-3448.157147212258,-3463.11848073805,14.961333525791815,14.961333525791815,0.30255789843425773
